Indicator,Definition,Notes,Disclosure,Justification,References,Score
Synthetic data sources,What are the top-5 sources (by volume) of synthetic data acquired for building the model?,We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,Amazon generates synthetic data using propriety models as part of its Automated Red-Teaming efforts to improve robustness of the Nova models. ,"The developer does not describe the sources of synthetic data for model training, namely the specific models used.",,0
Synthetic data purpose,"For the top-5 sources of synthetically generated data, what is the primary purpose for data generation?",We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,"Amazon generates synthetic data using propriety models as part of its Automated Red-Teaming efforts to improve robustness of the Nova models. Using existing adversial prompts as seeds, Amazon generates additional prompts. We also automatically generate multiturn, multilingual, and multimodal attacks against our system using our Automated Red-Teaming system. ",The developer describes the purpose for synthetic data creation.,,1
Data processing methods,What are the methods the developer uses to process acquired data to determine the data directly used in building the model?,"We will award this point for disclosure of all of the methods used to process acquired data. Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","We used AWS EMR and AWS Batch for data filtering, deduplication, and enrichment pipelines.",The developer lists three high-level data processing methods.,,1
Data processing purpose,"For each data processing method, what is its primary purpose?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","We used AWS EMR and AWS Batch for data filtering, deduplication, and enrichment. An example of data filetering is de-identifying or removing certain types of personal data from our training data, when feasible. Enrichment refers to processes such as the addition or modification of metadata to training data.","The developer does not describe the purpose for specific data processing methods, but the purpose of data filtering is only partially specified in relation to personal information and the substantive purpose of enrichment is not specified.",,0
Data processing techniques,"For each data processing method, how does the developer implement the method?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","We used AWS EMR and AWS Batch for data filtering, deduplication, and enrichment pipelines.",The developer does not describe the techniques that implement the data processing steps in adequate depth.,,0
Data size,Is the size of the data used in building the model disclosed?,"To receive this point, the developer should report data size in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). The size should reflect data directly used in building the model (i.e. training data) and not data that was acquired but unused, or data used to evaluate the model.","We do not disclose token size for model training. However, we provide context length capabilities for each of our understanding models as follows:

Nova Pro: 300k tokens
Nova Lite: 300k tokens
Nova Micro: 128k tokens
Nova Premier: 1 million tokens ","The developer does not provide the dataset size, instead providing the context length.",,0
Data language composition,"For all text data used in building the model, what is the composition of languages?","To receive this point, the developer should report (i) all languages which make up at least 1% of the data and their corresponding proportions and (ii) a brief description of how languages are labeled (if a publicly available tool is used, include a link to the tool). Proportions should be reported to a precision of two significant figures and should describe proportions of documents labeled with some langauge. An ""Unknown"" category may be included to denote documents where the language could not be identified.","Our models were trained by curating data from over 200 languages, with particular emphasis on Arabic, Dutch, English, French, German, Hebrew, Hindi, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, and Turkish.","The developer provides a high-level description of languages of emphasis, but this is insufficient precision and does not describe the method for language identification.",,0
Data domain composition,"For all the data used in building the model, what is the composition of domains covered in the data?","To receive this point, the developer should report the composition of the main domains included in the data used to train the model. This data should be at a level of granularity lower than broad claims about training on ""internet data"". For example, this could include the proportion of data from e-commerce, social media, news, code, etc. based on the URLs from which the data is sourced. Proportions should be reported to a precision of one significant figure.",We do not disclose this information publicly.,The developer does not provide information about the domain-level composition of the training data.,,0
External data access,Does a third-party have direct access to the data used to build the model?,"By a third-party, we mean entities that are financially independent of the developer.  We will award this point if at least one such entity is named as having direct access to the data. With that said, we may award this point if the developer provides justifications for prohibiting access to narrowly-scoped parts of the data. ","No, third parties do not have direct access to the data used to build the model. ","The developer does not provide access to the training data to any external entity, which is insufficient for this indicator because ""we will award this point if at least one such entity is named as having direct access to the data"".",,0
Data replicability,Is the data used to build the model described in enough detail to be externally replicable?,We will award this point if the description contains (i) a list of all publicly available training data and where to obtain it and (ii) a list of all training data obtainable from third parties and where to obtain it. These conditions refer to criteria 2 and 3 under the OSI Open Source AI v1.0 definition.,We do not disclose our training dataset list.,"The developer does not provide sufficient information to meaningfully replicate the training data, because of the use of several other types of data beyond publicly available datasets.",,0
Compute usage for final training run,Is the amount of compute used in the model's final training run disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 5 x 10^25 FLOPs). This number should represent the compute used to train the final model across all model stages.",We do not disclose compute values publicly.,The developer does not provide information about training compute.,,0
Compute usage including R&D,"Is the amount of compute used to build the model, including experiments, disclosed?","Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 7 x 10^26 FLOPs). Compared to the previous indicator, this indicator should include an estimation of the total compute used across experiments used towards the final training run for the model (such as including hyperparameter optimization or other experiments), and not just the final training run itself.",Compute used to train Amazon Nova Premier is not disclosed.,The developer does not provide information about training compute.,,0
Development duration for final training run,Is the amount of time required to build the model disclosed?,"The amount of time should be specified in terms of both the continuous duration of time required and the number of hardware hours used. The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). The number of hardware hours should be reported to a precision of one significant figure and include the type of hardware hours. No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, or training and subsequent evaluation and red teaming).",Amount of time to train Amazon Nova Premier is not disclosed. ,The developer does not provide information about training duration.,,0
Compute hardware for final training run,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.","Although the type and amount of hardware used to train Amazon Nova Premier is not specifically disclosed, Section 6 of the Amazon Nova Technical Report gives details on the hardware infrastructure used to train the Amazon Nova family of models. The Amazon Nova family of models were trained on Amazon’s custom Trainium1 (TRN1) chips, NVIDIA A100 (P4d instances), and H100 (P5 instances) accelerators.","The developer provides a list of the types of hardware units, but not the count (to the specified precision), which is insufficient for this indicator.",,0
Compute provider,Is the compute provider disclosed?,"For example, the compute provider may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that compute is provided by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.","Based on Section 6 of the Amazon Nova Technical Report, the Amazon Nova family of models is said to be trained on AWS resources including AWS SageMaker, AWS SageMaker-managed Elastic Kubernetes Service (EKS) clusters, AWS File System X (FSx), Amazon Simple Storage Service (S3). ",The developer provides a list of the compute providers within AWS.,,1
Energy usage for final training run,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh), along with a description of the measurement methodology, which may involve estimation. Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.",Energy required to train Amazon Nova Premier is not disclosed.,The developer does not provide information about the energy and environmental impacts of model training.,,0
Carbon emissions for final training run,Is the amount of carbon emitted in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2), along with a description of the measurement methodology, which may involve estimation. Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lack and why it lacks it. Emissions should correspond with the energy used in the previous indicator.",Carbon emissions from the training of Amazon Nova Premier is not disclosed.,The developer does not provide information about the energy and environmental impacts of model training.,,0
Water usage for final training run,Is the amount of clean water used in building the model disclosed?,"Clean water usage should be in appropriate units, which most often will be megaliters, along with a description of the measurement methodology, which may involve estimation. Clean water usage should be reported to a precision of one significant figure (e.g., 5000ML). No form of decomposition into compute phases is required, but it should be clear whether the reported water usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitates water usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.",Water usage from the training of Amazon Nova Premier is not disclosed.,The developer does not provide information about the energy and environmental impacts of model training.,,0
Internal compute allocation,How is compute allocated across the teams building and working to release the model?,"To receive a point, the developer should provide the compute allocated to each team involved in training the model. We understand there might be no clear allocation of compute across different teams; in that case, report an estimate of the compute used over the last year. Compute allocation should be reported to at least one significant figure.",Internal compute allocations across teams working on the training and development of Amazon Nova family of models are not disclosed. ,The developer does not provide information about internal compute allocation.,,0
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.","We define four stages in building Nova Premier: (1) unsupervised pretraining using a mixture of multilingual and multimodal data from licensed, proprietary, open source, and public datasets, (2) Supervised Fine-Tuning (SFT) on instruction-demonstration pairs including multimodal ones, (3) reward model (RM) training based on human preference data, and (4) final alignment through Direct Preference Optimization (DPO) and Proximal Policy Optimization (PPO) to ensure the model follows human preferences in both quality and responsibility.",The developer lists four high-level stages for model training.,,1
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).","During the pre-training stage, the objective is to optimize model for next-token prediction accuracy.
During the supervised fine-tuning stage, the objective is to optimize model correctness and helpfulness for downstream tasks (i.e. instruction following) and specific domains (i.e. coding).
During the reward model training stage, the objective is to minimize a pairwise cross-entropy loss so the reward model approximates human preference for a given input.
During the final model training stage, the objective is to align the model with human preferences in both quality and responsibility.",The developer discloses the objective associated with each training stage.,,1
Code access,Does the developer release code that allows third-parties to train and run the model?,The released code does not need to match the code used internally. ,Amazon Nova Premier on Amazon Bedrock is released with a variety of sample code and default parameters for using Amazon Nova models on Bedrock. ,"The developer does not provide code for model training, though does release other types of supplementary code.",,0
Organization chart,How are employees developing and deploying the model organized internally? ,"To receive a point, the developer should provide both the internal organization chart for the team developing the model as well as the headcounts (or a proportion of headcounts) by the team.",Amazon's organizational chart for teams supporting the development of Amazon Nova family of models is not disclosed. ,The developer does not provide information about the organization chart relevant to model training.,,0
Model cost,What is the cost of building the model?,"Monetary cost should be reported in appropriate currency (e.g. USD), along with the measurement methodology, which may involve estimation. Cost should be reported to a precision of one significant figure (e.g. 200 million USD). ",The cost of developing Amazon Nova Premier is not disclosed. ,The developer does not provide information about the cost to build their flagship model.,,0
Basic model properties,Are all basic model properties disclosed?,"Basic model properties include: the input modality, output modality, model size, model components, and model architecture. To receive a point, all model properties should be disclosed. Modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs. Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module. Model size should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder). Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently; a sufficient disclosure includes any clear, though potentially incomplete, description of the model architecture.","Input modality: Text, Image, Documents, Video 
Output modality: Text 
Model components: Multimodal foundation model with integrated safety measures and responsible AI practices. It includes components for processing text, images, and videos. 
Model architecture: Not fully disclosed, but it's described as a multimodal foundation model with a one-million token context window.
Language Support: 200+ languages with emphasis on Arabic, Dutch, English, French, German, Hebrew, Hindi, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, and Turkish. 
Maximum output tokens: 10K. 
Maximum context window (tokens): 1M (equivalent to 400-page document or 90-minute video)
Configurability: Allows system prompt configuration to define persona, model instructions, and response schemas
RAG support: Supports RAG implementation through tool use and knowledge base integration.","The developer discloses the modalities, but does not fully disclose the components, architecture, and size.",,0
Deeper model properties,Is a detailed description of the model architecture disclosed?,"To receive a point, the model architecture should be described in enough detail to allow for an external entity to fully implement the model. Publicly available code or a configuration file for a model training library (e.g., GPT-NeoX) would be a sufficiently detailed description.",Not disclosed,The developer does not disclose this.,,0
Model dependencies,Is the model(s) the model is derived from disclosed?,"We will award this point for a comprehensive disclosure of the model or models on which the foundation model directly depends on or is derived from, as well as the method by which it was derived (e.g., through fine tuning, model merging, or distillation). Additionally, we will award a point if the developer discloses that the model is not dependent on or derived from any model.",Amazon Nova models are not disclosed to be derived from other models. ,The developer does not disclose this.,,0
Benchmarked inference,Is the compute and time required for model inference disclosed for a clearly-specified task on clearly-specified hardware?,The duration should be reported in seconds to a precision of one significant figure (e.g. 0.002 seconds). Compute usage for inference should be reported in FLOPs/second to a precision of one significant figure (e.g. 5 x 10^21 FLOPs/second). The hardware in this evaluation need not be the hardware the developer uses for inference. The developer can report this figure over some known or public dataset.,"It takes 0.9 seconds to receive the first token from the model after an API request is sent, i.e., TTFT(Time to First Token)=0.9 seconds.  The speed of producing subsequent output tokens after the first token is 63 tokens/second. These numbers are reported by Artificial Analysis and based on runtime Bedrock latency figures.",The developer discloses the time required for inference but does not disclose the compute.,,0
Researcher credits,Is a protocol for granting external entities API credits for the model disclosed?,"A model credit access protocol refers to the steps, requirements, and considerations involved in granting credits to external entities. We will award this point if the developer discloses key details of its protocol, including (i) where external entities can request access to credits (e.g. via an access request form); (ii) explicit criteria for selecting external entities; and (iii) its policy on granting a transparent decision on whether access has been granted within a specified, reasonable period of time. Additionally, we will award a point if the developer discloses that it does not grant external entities API credits.",Not disclosed,The developer does not disclose this.,,0
Specialized access,Does the developer disclose if it provides specialized access to the model?,"Specialized access could include several categories, such as early access, subsidized access, or deeper access (e.g., to model weights or checkpoints, that are not publicly available). We will award this point if the developer discloses (i) if it provides specialized access and (ii) statistics on the number of users granted access across academia, industry, non-profits, and governments, to one significant figure.","No, Amazon does not provide specialized access to Nova models, including Amazon Nova Premier.",The developer discloses that no specialized access is provided.,,1
Open weights,Are the model's weights openly released?,"To receive this point, model weights need to be publicly available at no cost. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via a license or some high-level description of who has been granted access to the foundation model).","No, Nova Premier's model weights are not openly released.",The weights are not openly released.,,0
Agent Protocols,Are the agent protocols supported for the model disclosed?,"Agent protocols are specifications that define how autonomous agents exchange messages, context, or function calls with other agents, tools, or services (e.g., Anthropic’s Model Context Protocol (MCP) and Google’s Agent‑to‑Agent (A2A) spec). To earn this point, documentation must enumerate each protocol and describe any deviations or proprietary extensions. ","Amazon Nova Pro, Lite, and Micro models can be used as agents. Amazon recently launched Strands Agents an open source SDK that takes a model-driven approach to building and running AI agents. Strands supports model integrations (including Nova) via Bedrock and works with MCP and will soon with with A2A. ",The developer discloses agent protocols that the model supports.,,1
Capabilities taxonomy,Are the specific capabilities or tasks that were optimized for during post-training disclosed?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for a list of capabilities specifically optimized for in the post-training phase of the model, even if some of the capabilities are not reflected in the final model.","We focus on the following capabilities during post-training: 
(1) Code generation 
(2) Retrieval-Augmented Generation (RAG) for retrieving information from reliable, up-to-date sources 
(3) Video understanding and interpreting content of video scenes 
(4) Document understanding 
(5) Function calling for producing outputs that elicit correct responses from application APIs 
(6) Agentic interactions for multiturn interactions on the customer's behalf",The developer discloses the capabilities optimized for during post-training.,,1
Capabilities evaluation,Does the developer evaluate the model's capabilities prior to its release and disclose them concurrent with release?,"The evaluations must contain precise quantifications of the model's behavior in relation to the capabilities specified in the capabilities taxonomy. We will award this point for any clear, but potentially incomplete, evaluation of multiple capabilities.","We evaluate the Amazon Nova models across a variety of capabilities and share the results in the Technical Report and Model Card. For Amazon Nova Premier, we share performance on public benchmarks across text, multi-modal, and angentic capabilities. Precise quanitifications are available in Section 2.1 of the Model Card

Updated: Page 3 of the Amazon Nova Premier Technical Report includes results for Nova Pro and Nova Premier on on text, multimodal, and agentic capabilities for a diverse set of capabilities across different benchmarks. https://assets.amazon.science/e5/e6/ccc5378c42dca467d1abe1628ec9/amazon-nova-premier-technical-report-and-model-card.pdf",Table 1 specifies benchmarks and results for all capabilities in the taxonomy.,,1
External reproducibility of capabilities evaluation,Are code and prompts that allow for an external reproduction of the evaluation of model capabilities disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all capability evaluations to be reproduced. The released code must be open source, following the OSI definition of open source.","We provide the prompt templates for all benchmarks at: https://huggingface.co/datasets/amazon-agi/Amazon-Nova-1.0-Premier-evals.

Updated: Code and prompts to reproduce evaluations can be found at : https://huggingface.co/datasets/amazon-agi/Amazon-Nova-1.0-Premier-evals","Prompts and methodology are provided in the HF link but not any code.

In addition, the HF link does not cover all of the benchmarks in Table 1. Out of the 16 evaluations specified in Table 1, MBXP, OCRBench-v2, SimpleQA, SWE-Bench Verified are missing from the provided HF link (though, for two of these benchmarks, the developer discloses that they use the official prompts).

For OCRBench-v2, the developer specifies ""We use the official prompt of the benchmark for evaluation and we report accuracy across all tasks"".

For SimpleQA, the developer specifies ""We compute
accuracy (correctness) using the prompt shared in the SimpleQA paper, and GPT-4o-2024-11-20 as a judge"".

For SWEBench Verified, the developer specifies ""Specifically, we use a simple internal agentic scaffold on a 500 instance subset of SWE-bench known as SWE-bench Verified, and we report resolved rate"".",,0
Train-test overlap,Does the developer measure and disclose the overlap between the training set and the dataset used to evaluate model capabilities?,"We will award this point if, with every capability evaluation for which the developer reports results, the developer reports the overlap between the training set of the model and the dataset used for evaluation, as well as the general methodology for computing train-test overlap (e.g. a description of how n-gram matching was used). ",Not disclosed,The developer does not disclose this.,,0
Risks taxonomy,Are the risks considered when developing the model disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. These consequences or outcomes may arise from model limitations (functions that the model cannot perform) or issues with the model's trustworthiness (e.g., its lack of robustness, reliability, calibration). We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for a complete list of risks considered, even if some of the risks are not reflected in the final model.","Yes, the service card discusses the following risks that Nova Premier has been evaluated for:
(1) Frontier Risks: Chemical, Biological, Radiological, and Nuclear (CBRN) Weapons Proliferation, Offensive Cyber Operations, Automated AI Research and Development (AI R&D)
(2)Safety Risks: Harmlessness, CSAM
(3)Fairness
(4)Robustness
(5) Privacy",The developer discloses the list of risks considered.,,1
Risks evaluation,Does the developer evaluate the model's risks prior to its release and disclose them concurrent with release?,The evaluations must contain precise quantifications of the model's behavior in relation to the risks specified in the risk taxonomy. We will award this point for clear evaluations of the majority of the states risks.,"The Amazon Nova Premier Service Card states that, on average, Amazon Nova FMs correctly produce safe responses to over 90% of harmful prompts in a proprietary dataset (2.4K samples) designed to elicit model responses harmful content (for example, self-harm, violence, animal abuse).

Updated: (1) Frontier Risks are reported on in Nova Premier’s Frontier Model Safety Framework Risk Assessment

* CBRN: WMDP-Bio (0.84), WMDP-Chem (0.66), Protocol-QA-MCQ (0.48), BioLP-Bench (0.23)
* Offensive Cyber: Proprietary Knowledge Benchmark (~0.81), Proprietary CTF Benchmark (~0.80)
* AI R&D: On the RE-Bench tasks, Nova Premier showed foundational skills in parsing task intent, initiating complex workflows, and debugging, but it was unable to drive fully automated research, and its final solutions were judged to be either non-functional or underperforming.

(2) Safety Risks are reported on in Nova Premier’s Service Card

* Harmlessness: Amazon Nova FMs correctly product safe reponses on >90% of harmful prompts in a proprietary dataset (2.4K samples)

(3-5) Quantiative benchmarks are not reported for Fairness, Robustness, or Privacy.

https://www.amazon.science/publications/evaluating-the-critical-risks-of-amazons-nova-premier-under-the-frontier-model-safety-framework",The disclosed evaluation results do not cover a majority of risks in the taxonomy: categories 1 and 2 are covered in the taxonomy but not 3-5.,,0
External reproducibility of risks evaluation,Are code and prompts to allow for an external reproduction of the evaluation of model risks disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all risk evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source.",Amazon does not release code / prompts needed to externally produce risk evaluations,The developer does not disclose this.,,0
Pre-deployment risk evaluation,Are the external entities have evaluated the model pre-deployment disclosed?,"By external entities, we mean entities that are significantly or fully independent of the developer. We will award this point if the developer specifies the entity that carried out the pre-deployment analysis, discloses the terms of the analysis (such as conditions for releasing the evaluation results or the developer's control over the final results), as well as any financial transaction between the parties. We will award this point if the developer discloses no external entities have evaluated the model pre-deployment, or discloses only terms of the analysis where it is not bound by NDA while still naming all external entities.","Yes, the external entities that evaluated the model pre-deployment are explicitly disclosed in the text. Here are the pre-release external evaluators:
Red Teaming Firms:
ActiveFence
Innodata
CBRN Capabilities Assessment:
Gomes Group (for chemical synonym vulnerabilities)
Nemesys (for nuclear facility threats)
Deloitte (for biological weapons-related scientific knowledge)
Framework Evaluations:
Nemesys Insights
METR
Runtime Performance:
Artificial Analysis (described as ""an independent entity that benchmarks AI models and hosting providers"")

Updated: We contract and pay external evaluators for their services in evaluating and assessing our models. These entities include red-teaming firms (ActiveFence, Gomes Group, Innodata), Frontier Capability Assessors (Gomes Group, Nemeysis, Deloitte, METR).","The developer discloses the external entities that have evaluated the model pre-deployment. The developer also discloses the financial transactions between the parties. However, the developer does not disclose the terms of the analysis.
",,0
External risk evaluation,Are the parties contracted to evaluated model risks disclosed?,"We will award this point if the developer discloses statistics regarding all contracted parties that are responsible for evaluating risks (not limited to external entities or pre-deployment evaluation). This includes the number of contracted for-profit or non-profit entities, government entities, independent contractors, and researchers contracted by the developer to evaluate risks. We will award this point if the developer discloses it has no such contracts.","Yes, the external entities that evaluated the model pre-deployment are explicitly disclosed in the text. Here are the pre-release external evaluators:
Red Teaming Firms:
ActiveFence
Innodata
CBRN Capabilities Assessment:
Gomes Group (for chemical synonym vulnerabilities)
Nemesys (for nuclear facility threats)
Deloitte (for biological weapons-related scientific knowledge)
Framework Evaluations:
Nemesys Insights
METR
Runtime Performance:
Artificial Analysis (described as ""an independent entity that benchmarks AI models and hosting providers"")","The developer provides a list of entities which evaluate the model pre-deployment. The developer does not explicitly specify that this list of entities consitutes all of the contracted entities, but it can be reasonably interpreted as such, so we choose to award a point here. We recommend that the developer clarify whether this is the case.",,1
