Indicator,Definition,Notes,Disclosure
Compute hardware for final training run,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.",No information provided about training hardware.
Compute provider,Is the compute provider disclosed?,"For example, the compute provider may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that compute is provided by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.","""Qwen is a series of large language models (LLMs) independently developed by Alibaba Cloud."""
Energy usage for final training run,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh), along with a description of the measurement methodology, which may involve estimation. Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.",No information provided about training energy usage.
Carbon emissions for final training run,Is the amount of carbon emitted in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2), along with a description of the measurement methodology, which may involve estimation. Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lack and why it lacks it. Emissions should correspond with the energy used in the previous indicator.",No information provided about environmental impacts.
Water usage for final training run,Is the amount of clean water used in building the model disclosed?,"Clean water usage should be in appropriate units, which most often will be megaliters, along with a description of the measurement methodology, which may involve estimation. Clean water usage should be reported to a precision of one significant figure (e.g., 5000ML). No form of decomposition into compute phases is required, but it should be clear whether the reported water usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitates water usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.",No information provided about environmental impacts.
Internal compute allocation,How is compute allocated across the teams building and working to release the model?,"To receive a point, the developer should provide the compute allocated to each team involved in training the model. We understand there might be no clear allocation of compute across different teams; in that case, report an estimate of the compute used over the last year. Compute allocation should be reported to at least one significant figure.",No information provided about internal compute allocation.
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.","From the technical report: ""The Qwen3 models are pre-trained through a three-stage process:
(1) General Stage (S1): At the first pre-training stage, all Qwen3 models are trained on over 30
trillion tokens using a sequence length of 4,096 tokens. At this stage, the models have been fully
pre-trained on language proficiency and general world knowledge, with training data covering
119 languages and dialects.
(2) Reasoning Stage (S2): To further improve the reasoning ability, we optimize the pre-training
corpus of this stage by increasing the proportion of STEM, coding, reasoning, and synthetic data.
The models are further pre-trained with about 5T higher-quality tokens at a sequence length of
4,096 tokens. We also accelerate the learning rate decay during this stage.
(3) Long Context Stage: In the final pre-training stage, we collect high-quality long context corpora
to extend the context length of Qwen3 models. All models are pre-trained on hundreds of billions
of tokens with a sequence length of 32,768 tokens. The long context corpus includes 75% of text
between 16,384 to 32,768 tokens in length, and 25% of text between 4,096 to 16,384 in length.
Following Qwen2.5 (Yang et al., 2024b), we increase the base frequency of RoPE from 10,000 to
1,000,000 using the ABF technique (Xiong et al., 2023). Meanwhile, we introduce YARN (Peng
et al., 2023) and Dual Chunk Attention (DCA,""       ""The post-training pipeline of Qwen3 is strategically designed with two core objectives:
(1) Thinking Control: This involves the integration of two distinct modes, namely the “non-thinking”
and “thinking” modes, providing users with the flexibility to choose whether the model should
engage in reasoning or not, and to control the depth of thinking by specifying a token budget for
the thinking process.
(2) Strong-to-Weak Distillation: This aims to streamline and optimize the post-training process
for lightweight models. By leveraging the knowledge from large-scale models, we substantially
reduce both the computational costs and the development efforts required for building smaller scale models."""
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).","""The Qwen3 models are pre-trained through a three-stage process:
(1) General Stage (S1): At the first pre-training stage, all Qwen3 models are trained on over 30
trillion tokens using a sequence length of 4,096 tokens. At this stage, the models have been fully
pre-trained on language proficiency and general world knowledge, with training data covering
119 languages and dialects.
(2) Reasoning Stage (S2): To further improve the reasoning ability, we optimize the pre-training
corpus of this stage by increasing the proportion of STEM, coding, reasoning, and synthetic data.
The models are further pre-trained with about 5T higher-quality tokens at a sequence length of
4,096 tokens. We also accelerate the learning rate decay during this stage.
(3) Long Context Stage: In the final pre-training stage, we collect high-quality long context corpora
to extend the context length of Qwen3 models. All models are pre-trained on hundreds of billions
of tokens with a sequence length of 32,768 tokens. The long context corpus includes 75% of text
between 16,384 to 32,768 tokens in length, and 25% of text between 4,096 to 16,384 in length.
Following Qwen2.5 (Yang et al., 2024b), we increase the base frequency of RoPE from 10,000 to
1,000,000 using the ABF technique (Xiong et al., 2023). Meanwhile, we introduce YARN (Peng
et al., 2023) and Dual Chunk Attention (DCA,""       ""The post-training pipeline of Qwen3 is strategically designed with two core objectives:
(1) Thinking Control: This involves the integration of two distinct modes, namely the “non-thinking”
and “thinking” modes, providing users with the flexibility to choose whether the model should
engage in reasoning or not, and to control the depth of thinking by specifying a token budget for
the thinking process.
(2) Strong-to-Weak Distillation: This aims to streamline and optimize the post-training process
for lightweight models. By leveraging the knowledge from large-scale models, we substantially
reduce both the computational costs and the development efforts required for building smaller scale models."""
Code access,Does the developer release code that allows third-parties to train and run the model?,The released code does not need to match the code used internally. ,No code provided in relation to model training.
Organization chart,How are employees developing and deploying the model organized internally? ,"To receive a point, the developer should provide both the internal organization chart for the team developing the model as well as the headcounts (or a proportion of headcounts) by the team.",The technical report lists core and (generic) contributors.
Model cost,What is the cost of building the model?,"Monetary cost should be reported in appropriate currency (e.g. USD), along with the measurement methodology, which may involve estimation. Cost should be reported to a precision of one significant figure (e.g. 200 million USD). ",No information provided about monetary cost.
Basic model properties,Are all basic model properties disclosed?,"Basic model properties include: the input modality, output modality, model size, model components, and model architecture. To receive a point, all model properties should be disclosed. Modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs. Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module. Model size should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder). Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently; a sufficient disclosure includes any clear, though potentially incomplete, description of the model architecture.","Input modality: Text

Output modality: Text

Model components: Decoder-only model pre-trained w/ SFT in three stages (General, reasoning, long-context), post-training in three stages (Long-CoT cold-start, reasoning RL w/ GRPO, thinking mode fusion w/ SFT, general RL, strong-to-weak distillation)

Model size: 0.6B, 1.7B, 4B, 8B, 14B, 32B & MoE w/ 30B (3B active), 235B (22B active)

Model architecture: Autoregressive transformer LM (fine-grained expert segmentation for MoE w/o shared experts) w/ GQA, SwiGLU, RoPE, RMSNorm w/ pre-normalization, QK-norm.

""The architecture of the Qwen3 dense models is similar to Qwen2.5 (Yang et al., 2024b), including using
Grouped Query Attention (GQA, Ainslie et al., 2023), SwiGLU (Dauphin et al., 2017), Rotary Positional
Embeddings (RoPE, Su et al., 2024), and RMSNorm (Jiang et al., 2023) with pre-normalization. Besides,
we remove QKV-bias used in Qwen2 (Yang et al., 2024a) and introduce QK-Norm (Dehghani et al., 2023)
to the attention mechanism to ensure stable training for Qwen3. Key information on model architecture
is provided in Table 1.
The Qwen3 MoE models share the same fundamental architecture as the Qwen3 dense models. Key
information on model architecture is provided in Table 2. We follow Qwen2.5-MoE (Yang et al., 2024b)
and implement fine-grained expert segmentation (Dai et al., 2024). The Qwen3 MoE models have 128 total
experts with 8 activated experts per token. Unlike Qwen2.5-MoE, the Qwen3-MoE design excludes shared
experts. Furthermore, we adopt the global-batch load balancing loss (Qiu et al., 2025) to encourage expert
specialization. These architectural and training innovations have yielded substantial improvements in
model performance across downstream tasks.

Table 1: Model architecture of Qwen3 dense models.

Table 2: Model architecture of Qwen3 MoE models.

Section 3, 4 (Pre-training, post-training)"""
Deeper model properties,Is a detailed description of the model architecture disclosed?,"To receive a point, the model architecture should be described in enough detail to allow for an external entity to fully implement the model. Publicly available code or a configuration file for a model training library (e.g., GPT-NeoX) would be a sufficiently detailed description.",https://huggingface.co/Qwen/Qwen3-235B-A22B/blob/main/config.json
Model dependencies,Is the model(s) the model is derived from disclosed?,"We will award this point for a comprehensive disclosure of the model or models on which the foundation model directly depends on or is derived from, as well as the method by which it was derived (e.g., through fine tuning, model merging, or distillation). Additionally, we will award a point if the developer discloses that the model is not dependent on or derived from any model.","Lightweight models (Qwen3-0.6B, 1.7B, 4B, 8B, and 14B; Qwen3-30B-A3B) are distilled from strong models (Qwen3-235B-A22B, Qwen3-32B)

""Figure 1: Post-training pipeline of the Qwen3 series models.

The Strong-to-Weak Distillation pipeline is specifically designed to optimize lightweight models, encompassing 5 dense models (Qwen3-0.6B, 1.7B, 4B, 8B, and 14B) and one MoE model (Qwen3-30B-A3B). This approach enhances model performance while effectively imparting robust mode-switching capabilities.
The distillation process is divided into two primary phases:
(1) Off-policy Distillation: At this initial phase, we combine the outputs of teacher models generated
with both /think and /no think modes for response distillation. This helps lightweight student
models develop basic reasoning skills and the ability to switch between different modes of
thinking, laying a solid foundation for the next on-policy training phase.
(2) On-policy Distillation: In this phase, the student model generates on-policy sequences for
fine-tuning. Specifically, prompts are sampled, and the student model produces responses in
either /think or /no think mode. The student model is then fine-tuned by aligning its logits
with those of a teacher model (Qwen3-32B or Qwen3-235B-A22B) to minimize the KL divergence."""
