Indicator,Definition,Notes,Disclosure,Justification,References,Score
Data size,Is the size of the data used in building the model disclosed?,"To receive this point, the developer should report data size in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). The size should reflect data directly used in building the model (i.e. training data) and not data that was acquired but unused, or data used to evaluate the model.",No information provided about data properties.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Data language composition,"For all text data used in building the model, what is the composition of languages?","To receive this point, the developer should report (i) all languages which make up at least 1% of the data and their corresponding proportions and (ii) a brief description of how languages are labeled (if a publicly available tool is used, include a link to the tool). Proportions should be reported to a precision of two significant figures and should describe proportions of documents labeled with some langauge. An ""Unknown"" category may be included to denote documents where the language could not be identified.",No information provided about data properties.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Data domain composition,"For all the data used in building the model, what is the composition of domains covered in the data?","To receive this point, the developer should report the composition of the main domains included in the data used to train the model. This data should be at a level of granularity lower than broad claims about training on ""internet data"". For example, this could include the proportion of data from e-commerce, social media, news, code, etc. based on the URLs from which the data is sourced. Proportions should be reported to a precision of one significant figure.",No information provided about data properties.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
External data access,Does a third-party have direct access to the data used to build the model?,"By a third-party, we mean entities that are financially independent of the developer.  We will award this point if at least one such entity is named as having direct access to the data. With that said, we may award this point if the developer provides justifications for prohibiting access to narrowly-scoped parts of the data. ",No information provided about about external data access.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Data replicability,Is the data used to build the model described in enough detail to be externally replicable?,We will award this point if the description contains (i) a list of all publicly available training data and where to obtain it and (ii) a list of all training data obtainable from third parties and where to obtain it. These conditions refer to criteria 2 and 3 under the OSI Open Source AI v1.0 definition.,No information provided relevant for data replication.,No information provided and Mistral makes clear they do not provide information about the training data.,,0
Compute usage for final training run,Is the amount of compute used in the model's final training run disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 5 x 10^25 FLOPs). This number should represent the compute used to train the final model across all model stages.",No information provided about training compute.,No information provided.,,0
Compute usage including R&D,"Is the amount of compute used to build the model, including experiments, disclosed?","Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 7 x 10^26 FLOPs). Compared to the previous indicator, this indicator should include an estimation of the total compute used across experiments used towards the final training run for the model (such as including hyperparameter optimization or other experiments), and not just the final training run itself.",No information provided about training compute.,No information provided.,,0
Development duration for final training run,Is the amount of time required to build the model disclosed?,"The amount of time should be specified in terms of both the continuous duration of time required and the number of hardware hours used. The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). The number of hardware hours should be reported to a precision of one significant figure and include the type of hardware hours. No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, or training and subsequent evaluation and red teaming).",No information provided about training compute.,No information provided.,,0
Compute hardware for final training run,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.",No information provided about hardware used specifically for Mistral Medium 3.,No information provided.,,0
Compute provider,Is the compute provider disclosed?,"For example, the compute provider may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that compute is provided by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.",No information provided about hardware used specifically for Mistral Medium 3.,No information provided.,,0
Energy usage for final training run,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh), along with a description of the measurement methodology, which may involve estimation. Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.",No information provided about energy usage.,No information provided.,https://mistral.ai/news/our-contribution-to-a-global-environmental-standard-for-ai,0
Carbon emissions for final training run,Is the amount of carbon emitted in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2), along with a description of the measurement methodology, which may involve estimation. Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lack and why it lacks it. Emissions should correspond with the energy used in the previous indicator.",No information provided about environmental impacts.,No information provided.,https://mistral.ai/news/our-contribution-to-a-global-environmental-standard-for-ai,0
Water usage for final training run,Is the amount of clean water used in building the model disclosed?,"Clean water usage should be in appropriate units, which most often will be megaliters, along with a description of the measurement methodology, which may involve estimation. Clean water usage should be reported to a precision of one significant figure (e.g., 5000ML). No form of decomposition into compute phases is required, but it should be clear whether the reported water usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitates water usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.",No information provided about environmental impacts.,No information provided.,https://mistral.ai/news/our-contribution-to-a-global-environmental-standard-for-ai,0
Internal compute allocation,How is compute allocated across the teams building and working to release the model?,"To receive a point, the developer should provide the compute allocated to each team involved in training the model. We understand there might be no clear allocation of compute across different teams; in that case, report an estimate of the compute used over the last year. Compute allocation should be reported to at least one significant figure.",No information provided about internal compute breakdown.,No information provided.,,0
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.",No information provided about model development process.,No information provided.,,0
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).",No information provided about model development process.,No information provided.,,0
Code access,Does the developer release code that allows third-parties to train and run the model?,The released code does not need to match the code used internally. ,No code provided for model training but code provided for model inference and fine-tuning.,Code for model training is not provided.,https://github.com/mistralai/mistral-common,0
Organization chart,How are employees developing and deploying the model organized internally? ,"To receive a point, the developer should provide both the internal organization chart for the team developing the model as well as the headcounts (or a proportion of headcounts) by the team.",No information provided about organization structure.,No information provided.,,0
Model cost,What is the cost of building the model?,"Monetary cost should be reported in appropriate currency (e.g. USD), along with the measurement methodology, which may involve estimation. Cost should be reported to a precision of one significant figure (e.g. 200 million USD). ",No information provided about cost to build Mistral Medium 3.,No information provided.,,0
Basic model properties,Are all basic model properties disclosed?,"Basic model properties include: the input modality, output modality, model size, model components, and model architecture. To receive a point, all model properties should be disclosed. Modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs. Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module. Model size should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder). Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently; a sufficient disclosure includes any clear, though potentially incomplete, description of the model architecture.","Input modality: Text, Image
Output modality: Text

https://docs.mistral.ai/capabilities/vision/
Models with Vision Capacilities:
Pixtral 12B (pixtral-12b-latest)
Pixtral Large 2411 (pixtral-large-latest)
Mistral Medium 2505 (mistral-medium-latest)
Mistral Small 2503 (mistral-small-latest)

https://mistral.ai/static/research/magistral.pdf
""The initial checkpoints utilized for RL training, Mistral Small 3 and Mistral Medium 3, are multimodal
models and come with associated vision encoders.""

Mistral Small 3 has weights (and architecture) released: https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501 but it's not clear that these are using the same architecture","The developer does not disclose information about the model components, size, or architecture.",,0
Deeper model properties,Is a detailed description of the model architecture disclosed?,"To receive a point, the model architecture should be described in enough detail to allow for an external entity to fully implement the model. Publicly available code or a configuration file for a model training library (e.g., GPT-NeoX) would be a sufficiently detailed description.",Mistral Small has weights (and architecture) released: https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501 but it's not clear that these are using the same architecture,"Although limited information about model architecture could be inferred from models in the same family (namely, Mistral Small 3), the developer does not disclose enough concrete information to allow for an external entity to fully reproduce the model.",,0
Model dependencies,Is the model(s) the model is derived from disclosed?,"We will award this point for a comprehensive disclosure of the model or models on which the foundation model directly depends on or is derived from, as well as the method by which it was derived (e.g., through fine tuning, model merging, or distillation). Additionally, we will award a point if the developer discloses that the model is not dependent on or derived from any model.",,No information is provided about model dependencies.,,0
Benchmarked inference,Is the compute and time required for model inference disclosed for a clearly-specified task on clearly-specified hardware?,The duration should be reported in seconds to a precision of one significant figure (e.g. 0.002 seconds). Compute usage for inference should be reported in FLOPs/second to a precision of one significant figure (e.g. 5 x 10^21 FLOPs/second). The hardware in this evaluation need not be the hardware the developer uses for inference. The developer can report this figure over some known or public dataset.,,No information is provided about inference time or compute.,,0
Researcher credits,Is a protocol for granting external entities API credits for the model disclosed?,"A model credit access protocol refers to the steps, requirements, and considerations involved in granting credits to external entities. We will award this point if the developer discloses key details of its protocol, including (i) where external entities can request access to credits (e.g. via an access request form); (ii) explicit criteria for selecting external entities; and (iii) its policy on granting a transparent decision on whether access has been granted within a specified, reasonable period of time. Additionally, we will award a point if the developer discloses that it does not grant external entities API credits.","Mistral describes a Mistral Ambassadors program where Ambassadors receive free credits on the platform.

https://docs.mistral.ai/ambassadors
(i) An application form is linked on the website
(ii) ""Our team will carefully review each application on a quarterly basis, assessing candidates based on several key criteria. These include a genuine passion for Mistral AI, demonstrated expertise in AI, machine learning, or a related field, a history of advocating for Mistral AI through community engagement, blog posts, public speaking, video tutorials, or other means, and a willingness to commit to the program for a minimum of six months.""
(iii) ""If selected, you will be contacted by the end of July 2025 to discuss next steps and possibly participate in an interview with additional questions.""","No information is provided about granting researchers API credits for the model. However, the developer discloses a protocol for granting external entities (Mistral Ambassadors) credits.",https://docs.mistral.ai/ambassadors,0
Specialized access,Does the developer disclose if it provides specialized access to the model?,"Specialized access could include several categories, such as early access, subsidized access, or deeper access (e.g., to model weights or checkpoints, that are not publicly available). We will award this point if the developer discloses (i) if it provides specialized access and (ii) statistics on the number of users granted access across academia, industry, non-profits, and governments, to one significant figure.",,No information is provided about specialized access.,,0
Open weights,Are the model's weights openly released?,"To receive this point, model weights need to be publicly available at no cost. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via a license or some high-level description of who has been granted access to the foundation model).",,The developer does not release model weights.,,0
Agent Protocols,Are the agent protocols supported for the model disclosed?,"Agent protocols are specifications that define how autonomous agents exchange messages, context, or function calls with other agents, tools, or services (e.g., Anthropic’s Model Context Protocol (MCP) and Google’s Agent‑to‑Agent (A2A) spec). To earn this point, documentation must enumerate each protocol and describe any deviations or proprietary extensions. ","Today we announce our new Agents API, a major step forward in making AI more capable, useful, and an active problem-solver. Traditional language models excel at generating text but are limited in their ability to perform actions or maintain context. Our new Agents API addresses these limitations by combining Mistral's powerful language models with: Built-in connectors for code execution, web search, image generation, and MCP tools Persistent memory across conversations Agentic orchestration capabilities The Agents API complements our Chat Completion API by offering a dedicated framework that simplifies implementing agentic use cases. It serves as the backbone of enterprise-grade agentic platforms. By providing a reliable framework for AI agents to handle complex tasks, maintain context, and coordinate multiple actions, the Agents API enables enterprises to use AI in more practical and impactful ways.",The developer discloses the agent protocols supported by the model.,Build AI agents with the Mistral Agents API,1
Capabilities taxonomy,Are the specific capabilities or tasks that were optimized for during post-training disclosed?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for a list of capabilities specifically optimized for in the post-training phase of the model, even if some of the capabilities are not reflected in the final model.","Mistral Medium 3 is designed to be frontier-class, particularly in categories of professional use. In the evaluations below, we use numbers reported previously by other providers wherever available, otherwise we use our own evaluation harness. Performance accuracy on all benchmarks were obtained through the same internal evaluation pipeline. Mistral Medium 3 particular stands out in coding and STEM tasks where it comes close to its very large and much slower competitors.","Although the developer describes capabilities that the model excels in, they do not describe the capabilities specifically optimized for during post-training.",https://mistral.ai/news/mistral-medium-3,0
Capabilities evaluation,Does the developer evaluate the model's capabilities prior to its release and disclose them concurrent with release?,"The evaluations must contain precise quantifications of the model's behavior in relation to the capabilities specified in the capabilities taxonomy. We will award this point for any clear, but potentially incomplete, evaluation of multiple capabilities.","https://mistral.ai/news/mistral-medium-3
(Coding) HumanEval (0-shot): 92.1%
(Coding) LiveCodeBench (v6): 30.3%
(Coding) MultiPL-E average: 81.4%
(Instruction Following) ArenaHard (0-shot): 97.1%
(Instruction Following) IfEval (0-shot): 89.4%
(Math) Math500 Instruct: 91.0%
(Knowledge) GPQA Diamond (5-shot CoT): 57.1%
(Knowledge) MMLU Pro (5-shot CoT): 77.2%
(Long Context) RULER 32K (0-shot): 96.0%
(Long Context) RULER 128K (0-shot): 90.2%
(Multimodal) MMMU (0-shot): 66.1%
(Multimodal) DocVQA (0-shot): 95.3%
(Multimodal) AI2D (0-shot): 93.7%
(Multimodal) ChartQA (0-shot): 82.6%

Competitor wins vs Mistral wins for coding:
Claude Sonnet 3.7: 60.00 to 40.00
DeepSeek 3.1: 62.50 to 37.50
GPT-4o: 50.00 to 50.00
Command-A: 30.77 to 69.23
Llama 4 Maverick: 18.18 to 81.82

Llama maverick wins vs Mistral wins:
Coding: 18.18 to 81.82
Multimodal: 46.15 to 53.85
English: 33.33 to 66.67
French: 28.57 to 71.43
Spanish: 26.67 to 73.33
German: 37.50 to 62.50
Arabic: 35.29 to 64.71","The developer publishes a large number of capability evaluation results that tie to the capabilities it associates with the model, though the benchmarking of the model is not specifically mapped onto the delineation of capabilities for which the model was optimized.","Mistral Medium 3, News",1
External reproducibility of capabilities evaluation,Are code and prompts that allow for an external reproduction of the evaluation of model capabilities disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all capability evaluations to be reproduced. The released code must be open source, following the OSI definition of open source.","Mistral Medium 3 is designed to be frontier-class, particularly in categories of professional use. In the evaluations below, we use numbers reported previously by other providers wherever available, otherwise we use our own evaluation harness. Performance accuracy on all benchmarks were obtained through the same internal evaluation pipeline. Mistral Medium 3 particular stands out in coding and STEM tasks where it comes close to its very large and much slower competitors. 

In addition to academic benchmarks we report third-party human evaluations that are more representative of real-world use cases. Mistral Medium 3 continues to shine in the coding domain and delivers much better performance, across the board, than some of its much larger competitors.","Although much of the evaluations in the previous indicator are public benchmarks, the code/prompts that would allow an external reproduction of the results is not disclosed (e.g., the ""internal evaluation pipeline"" described in the release announcement or some equivalent).","Mistral Medium 3, News",0
Train-test overlap,Does the developer measure and disclose the overlap between the training set and the dataset used to evaluate model capabilities?,"We will award this point if, with every capability evaluation for which the developer reports results, the developer reports the overlap between the training set of the model and the dataset used for evaluation, as well as the general methodology for computing train-test overlap (e.g. a description of how n-gram matching was used). ",,No information is provided about the train-test overlap.,,0
Risks taxonomy,Are the risks considered when developing the model disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. These consequences or outcomes may arise from model limitations (functions that the model cannot perform) or issues with the model's trustworthiness (e.g., its lack of robustness, reliability, calibration). We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for a complete list of risks considered, even if some of the risks are not reflected in the final model.","""We are introducing our new moderation service, which is powered by the Mistral Moderation model, a classifier model based on Ministral 8B 24.10. It enables our users to detect harmful text content along several policy dimensions.""

""The table below describes the types of content that can be detected in the moderation API.""","The developer includes some information about risks through the structure of their moderation API, but they do not disclose the taxonomy of risks considered while developing Mistral Medium 3.","Mistral Documentation, Moderation",0
Risks evaluation,Does the developer evaluate the model's risks prior to its release and disclose them concurrent with release?,The evaluations must contain precise quantifications of the model's behavior in relation to the risks specified in the risk taxonomy. We will award this point for clear evaluations of the majority of the states risks.,,No information provided about risk evaluations.,,0
External reproducibility of risks evaluation,Are code and prompts to allow for an external reproduction of the evaluation of model risks disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all risk evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source.",,No information provided about risk evaluations.,,0
Pre-deployment risk evaluation,Are the external entities have evaluated the model pre-deployment disclosed?,"By external entities, we mean entities that are significantly or fully independent of the developer. We will award this point if the developer specifies the entity that carried out the pre-deployment analysis, discloses the terms of the analysis (such as conditions for releasing the evaluation results or the developer's control over the final results), as well as any financial transaction between the parties. We will award this point if the developer discloses no external entities have evaluated the model pre-deployment, or discloses only terms of the analysis where it is not bound by NDA while still naming all external entities.",,No information provided about pre-deployment external evaluations.,,0
External risk evaluation,Are the parties contracted to evaluated model risks disclosed?,"We will award this point if the developer discloses statistics regarding all contracted parties that are responsible for evaluating risks (not limited to external entities or pre-deployment evaluation). This includes the number of contracted for-profit or non-profit entities, government entities, independent contractors, and researchers contracted by the developer to evaluate risks. We will award this point if the developer discloses it has no such contracts.",,No information provided about parties contracted to evaluate risk.,,0
Mitigations taxonomy,Are the post-training mitigations implemented when developing the model disclosed?,"By post-training mitigations, we refer to interventions implemented by the developer during the post-training phase to reduce the likelihood and/or the severity of the model’s risks. We recognize that different developers may use different terminology for mitigations, or conceptualize mitigations differently. We will award this point for a complete list of mitigations considered, even if some of the mitigations are not reflected in the final model. Alternatively, we will award this point if the developer reports that it does not mitigate risk in this way.","""We are introducing our new moderation service, which is powered by the Mistral Moderation model, a classifier model based on Ministral 8B 24.10. It enables our users to detect harmful text content along several policy dimensions.""","Although the developer has a publicly accessible moderation service, they do not disclose information about mitigations implemented during post-training specifically.","Mistral Documentation, Mistral 3 News Release",0
Mitigations taxonomy mapped to risk taxonomy,Does the developer disclose how the post-training mitigations map onto the taxonomy of risks?,"We will award this point for a complete mapping of the primary risk that each mitigation is meant to address, even if the mitigation potentially maps on to other risks in the taxonomy. Alternatively, we will award this point if the developer reports that it does not mitigate risk.","Mistral Moderation API flags 9 safety categories including illegal activities, hate/harassment, unqualified advice

""We are committed to conducting structured, scalable and consistent stress testing of our models throughout the development process for their capability to produce AIG-CSAM and CSEM within the bounds of law, and integrating these findings back into model training and development to improve safety assurance for our generative AI products and systems.""

""Retroactively assess currently hosted models for their potential to generate AIG-CSAM and CSEM, updating them with mitigations to maintain access to our platform.""

","The developer includes some broad information about risks they try to mitigate (particularly AIG-CSAM and CSEM), but they do not describe any particular mitigations.","Mistral Moderation API, Child abuse prevention",0
Mitigations efficacy,Does the developer evaluate and disclose the impact of post-training mitigations?,"We will award this point if the developer discloses the results on the risk evaluations before and after the post-training mitigations are applied. Alternatively, we will award this point if the developer reports that it does not mitigate risk in this way.",,No information provided about the evaluation of post-training mitigations.,,0
External reproducibility of mitigations evaluation,Are code and prompts to allow for an external reproduction of the evaluation of post-training mitigations disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all mitigations evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source. Alternatively, we will award this point if the developer reports that it does not mitigate risk.",,No information provided about the evaluation of post-training mitigations.,,0
Model theft prevention measures,Does the developer disclose the security measures used to prevent unauthorized copying (“theft”) or unauthorized public release of the model weights?,"This indicator assesses the developer's disclosures regarding how it addresses the risk that malicious actors or insiders could exfiltrate or replicate proprietary weights. Security measures could include insider threat analysis and detection, in addition to external threat management. Examples of such measures include encryption at rest, key management, remote attestation, or auditing for suspicious queries. We will award a point if the developer discloses specific steps taken to safeguard the model weights or that none are implemented.","Terms of Service mention model weights are 'highly confidential' and require stringent security measures (URL: https://mistral.ai/terms)
Acknowledgment of watermarking implementation for models (URL: https://mistral.ai/terms)
Reference to technical and organizational measures in Trust Center (URL: https://trust.mistral.ai/)","In addition to descriptions of general cybersecurity measures, the developer describes specific measure to secure model weights from theft.",,1
