Indicator,Definition,Notes,Disclosure
Synthetic data sources,What are the top-5 sources (by volume) of synthetic data acquired for building the model?,We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,"We synthetically generated data using Mixtral-8x7B-Instruct, Mixtral-8x22B-Instruct, Phi-3.5-MoE-Instruct, and granite-34b-code-instruct, and granite-8b-code-instruct."
Synthetic data purpose,"For the top-5 sources of synthetically generated data, what is the primary purpose for data generation?",We define a source of synthetic data as a non-human mechanism (e.g. a machine learning model) used to generate the data.,"The primary purpose for the generated synthetic data is to creating training data (SFT and RL) that targets specific behaviors including reasoning, instruction following, harmlessness, as well as to target key use cases, including RAG and tool-use."
Data processing methods,What are the methods the developer uses to process acquired data to determine the data directly used in building the model?,"We will award this point for disclosure of all of the methods used to process acquired data. Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","Our data processing pipeline consists of a multi-step process covering 
1. Identification and removal of non-permissively licensed code repositories, 
2. Removal of any data obtained from sources found on IBM's URL blocklist, which collates URLs that are known to share pirated or harmful content
3. Text extraction of HTML and PDF documents, including HTML tag removal, PDF header and footer and formatting removal, and in-line deduplication.
4. Language identification to retain English, German, Spanish, French, Japanese, Portuguese, Arabic, Czech, Italian, Korean, Dutch, and Chinese
5. Deduplication across documents
6. HAP and malware filtering
7. Quality filtering
8. Instruction data annotation (structured data only), scoring and filtering data for instruction difficulty, response quality, multi-turn identification, and cross-sample similarity scoring

Add that our detailed Web data processing recipes are made public in GneissWeb paper, DPK notebooks, and Huggingface page (with pointers)."
Data processing purpose,"For each data processing method, what is its primary purpose?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","1. Removes data that would not pass IBM's data clearance process
2. Removes data that is suspected to be pirated or malicious
3. Improves the quality of the data for training
4. Reduces the data to relevant subsets targeted in training
5. Improves the quality of the data for training
6. Removes potentially toxic or harmful content
7. Improves the quality of the data for training
8. Improves the quality of the data for training"
Data processing techniques,"For each data processing method, how does the developer implement the method?","Data processing refers to any method that substantively changes the content of the data. For example, compression or changing the data file format is generally not in the scope of this indicator.","All below steps (outside of step 3), are conducted using IBM's Open Source Data Prep Kit (https://github.com/data-prep-kit/data-prep-kit)
1. in-house filtering tool, comparing against a pre-defined list of licenses
2. in-house filtering tool, comparing against a predefined list of blocklisted URLs
3. HTMLs are processed using Trafilatura, pdfs are processed using ApachePDF
4. Fasttext based classifier
Steps 5-8 are completed using IBM's open sourced framework, DataPrepKit (https://github.com/data-prep-kit/data-prep-kit/tree), specifically:
5. Exact deduplication computes SHA256 and removes records with identical hashes.  Two-step fuzzy dedup is  where (1) MinHashes of all documents are computed, and grouped, and then (2) Jaccard similarity is used to pair similar documents, afterwhich only one is retrained
6. Classifiers for HAP are used to annotate and filter out flagged data
7. Gopher-based quality filtering to remove low quality documents that contain for example bullet points ratio of greater than 90%, ellipsis line ratio of greater than 30% and symbol to word ratio of greater than 10%.  A KenLM linear classifier, pre-trained on a small collection of known high quality documents, is used to score the overall quality of the document.
8. LLMaaJ based scoring and minimum neighbor distance based duplicate detection"
Data size,Is the size of the data used in building the model disclosed?,"To receive this point, the developer should report data size in appropriate units (e.g. bytes, words, tokens, images, frames) and broken down by modality. Data size should be reported to a precision of one significant figure (e.g. 4 trillion tokens, 200 thousand images). The size should reflect data directly used in building the model (i.e. training data) and not data that was acquired but unused, or data used to evaluate the model.","The sizes of all Granite models can be found publicly documented on our Hugging Face model cards.  Recent additions to the Granite family include Granite-3-8B, which is 8B parameters in size, trained on 12T tokens, Granite-4-Tiny, which is 7B parameters in size, and Granite-4-Small, which is 30B parameters in size.  Each of these models was pre-trained on 12T tokens."
Data language composition,"For all text data used in building the model, what is the composition of languages?","To receive this point, the developer should report (i) all languages which make up at least 1% of the data and their corresponding proportions and (ii) a brief description of how languages are labeled (if a publicly available tool is used, include a link to the tool). Proportions should be reported to a precision of two significant figures and should describe proportions of documents labeled with some langauge. An ""Unknown"" category may be included to denote documents where the language could not be identified.","We estimate the language composition for non-code data, is as follows:

en		80%
fr		2.3%
es		2.1%
de		2.0%
ja		1.5%
zh		1.5%
pt		1.3%
it		0.78%
nl		0.59%
cs		0.28%
ko		0.20%
ar		0.19%
Unknown	6.9%

We use two methods to classify language in the datasets.  (1) For opensource, permissively licensed datasets where the language is identified as part of the metadata, we rely on that identification. (2) For all others, we use either Cld2 https://pypi.org/project/pycld2/ OR we also use Fasttext-based language identification from opensource.  Percentages are based on percent of documents, before tokenization or any further subsampling for data mixtures."
Data domain composition,"For all the data used in building the model, what is the composition of domains covered in the data?","To receive this point, the developer should report the composition of the main domains included in the data used to train the model. This data should be at a level of granularity lower than broad claims about training on ""internet data"". For example, this could include the proportion of data from e-commerce, social media, news, code, etc. based on the URLs from which the data is sourced. Proportions should be reported to a precision of one significant figure.","We estimate the following domain compositions is covered in the top level datasets acquired for training:
Finance and Business: 40%
News and Politics: 10%
Lifestyle: 9%
Education and Science: 7%
Code: 7%
Entertainment: 7%
Health: 6%
Technology: 4%
Other: 10%

Percentages are based on percent of documents, before tokenization or any further subsampling for data mixtures."
External data access,Does a third-party have direct access to the data used to build the model?,"By a third-party, we mean entities that are financially independent of the developer.  We will award this point if at least one such entity is named as having direct access to the data. With that said, we may award this point if the developer provides justifications for prohibiting access to narrowly-scoped parts of the data. ","Model data and the models are stored in an internal access controlled Lakehouse, which maintains an audit trail.
Third party entities do not have direct access to the data used to build the model, with the following two exceptions: 
(1) Red Hat (a subsidiary of IBM) employees, under access control
(2) Schellman LLC, as a part of a third-party audit for ISO 42001 compliance certification 

We do not distribute the training data to the general public, in order to respect any licensing restrictions around the acquired data.  However, the names and locations of all Granite training datasets are openly disclosed, so that the public can procure any open source data if it is of interest.  Further, to support third-parties interested in model building, IBM has opensourced the GneissWeb data recipe, so that anyone can recreate IBM's filtered down Common Crawl datasets leveraged in Granite model building."
Data replicability,Is the data used to build the model described in enough detail to be externally replicable?,We will award this point if the description contains (i) a list of all publicly available training data and where to obtain it and (ii) a list of all training data obtainable from third parties and where to obtain it. These conditions refer to criteria 2 and 3 under the OSI Open Source AI v1.0 definition.,"We list the permissively licensed data we use for training Granite. Please refer to the technical white paper (https://github.com/ibm-granite/granite-3.0-language-models/blob/main/paper.pdf), particularly Appendix A: Contributions and Acknowledgements sub-section B. Data (pages 29 – 37). In the footnotes for pages 29 – 37,  we explicitly hyperlink to the location of the data. Datasets listed in the white paper as IBM curated, which do not have a corresponding footnote with the data location, are not publicly available datasets."
Compute usage for final training run,Is the amount of compute used in the model's final training run disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 5 x 10^25 FLOPs). This number should represent the compute used to train the final model across all model stages.","We estimate Granite 3.0 8B was trained with 5.66×10^23 FLOPs, this is based on a measured throughput of 6.8×10^17 FLOPs/GPU-hour, and a final training run time of 832,102 hours."
Compute usage including R&D,"Is the amount of compute used to build the model, including experiments, disclosed?","Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 7 x 10^26 FLOPs). Compared to the previous indicator, this indicator should include an estimation of the total compute used across experiments used towards the final training run for the model (such as including hyperparameter optimization or other experiments), and not just the final training run itself.","Our cumulative compute usage across the entire Granite 3.0 family is estimated as 5.30 x 10^24 FLOPS.    We estimate across the entire model family, as most of the data mixtures and hyper-parameter search experiments benefited all of the Granite 3.0 final training runs.  This estimate is based on a measured throughput of 6.8×10^17 FLOPs/GPU-hour, and a total of 7.7M cumulative GPU hours run across the Granite 3.0 development lifecycle."
Development duration for final training run,Is the amount of time required to build the model disclosed?,"The amount of time should be specified in terms of both the continuous duration of time required and the number of hardware hours used. The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). The number of hardware hours should be reported to a precision of one significant figure and include the type of hardware hours. No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, or training and subsequent evaluation and red teaming).","Granite 3.0 8B model was trained over a period of 120 days, 832,102 NVIDIA H100 GPU-Hours."
Compute hardware for final training run,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.",Our Granite 3.0 8B model was trained on 768 H100s; Granite 4.0 Tiny was trained on 256 H100s; and Granite 4.0 Small was trained on 1024 H100s.
Compute provider,Is the compute provider disclosed?,"For example, the compute provider may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that compute is provided by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners."," IBM Blue Vela, one of IBM's supercomputing clusters, using IBM Spectrum LSF, as shown on page 18 of the technical report."
Energy usage for final training run,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh), along with a description of the measurement methodology, which may involve estimation. Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.","Granite 3.0 8B was trained with an estimated 757.0 MWh of energy.  To estimate training energy consumption, we multiplied training GPU Hours (832,102) by a Power Usage Effectivess (PUE) of 1.3 and a GPU power consumption of 700W."
Carbon emissions for final training run,Is the amount of carbon emitted in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2), along with a description of the measurement methodology, which may involve estimation. Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lack and why it lacks it. Emissions should correspond with the energy used in the previous indicator.","To calculate the emission we use the US national average carbon intensity factor of 0.39 kg CO2eq/KWh according to U.S. Energy Information Administration, resulting in a Carbon Emissions of 295.2 tCO2eq for Granite 3.0 8b."
Water usage for final training run,Is the amount of clean water used in building the model disclosed?,"Clean water usage should be in appropriate units, which most often will be megaliters, along with a description of the measurement methodology, which may involve estimation. Clean water usage should be reported to a precision of one significant figure (e.g., 5000ML). No form of decomposition into compute phases is required, but it should be clear whether the reported water usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitates water usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.","Our model yielded an estimate of 2.1 ML water. To estimate training water usage, we multiplied training energy usage (757,000 kWh) by a snapshot of our Blue Vela data center water efficiency, measured in April of 2025 (2.83 L per kWh)."
Internal compute allocation,How is compute allocated across the teams building and working to release the model?,"To receive a point, the developer should provide the compute allocated to each team involved in training the model. We understand there might be no clear allocation of compute across different teams; in that case, report an estimate of the compute used over the last year. Compute allocation should be reported to at least one significant figure.","Data Mixture -- 37%
Hyper Parameter Tuning --17%
Pre-Training -- 16%
Post-Training --16%
Miscellaneous--14%"
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.","We define four stages in the model build:
1.Pre-training – Phase 1 
2. Pre-training – Phase 2 (including annealing and long context extension)
3. Supervised Fine-tuning (SFT)
4. Reinforcement Learning-based Alignment (RLHF)"
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).","1.Pre-training – Phase 1 
Objective: Train the model on a broad mixture of medium-quality data to build foundational knowledge and linguistic competence across diverse domains and tasks, without overfitting to any single type of content.
Update: Establishes general-purpose representations by learning patterns and structures common across a wide range of inputs.
2. Pre-training – Phase 2 (including annealing and long context extension)
Objective: Continue training on a curated, high-quality data mixture to improve generalization and performance on downstream tasks, with a focus on enterprise-relevant domains and longer context data.
Update: Refines and stabilizes the model’s representations through continued pretraining on higher-signal data.
3. Supervised Fine-tuning (SFT)
Objective: Adapt the model for instruction following, tool use, and multi-turn dialogue through training on structured instruction-response examples.
Update: Specializes the model to follow directives and engage in structured interactions, improving usability and coherence in applied settings.
4. Reinforcement Learning-based Alignment (RLHF)
Objective: Further align the model’s behavior with human preferences using techniques such as Best-of-N sampling, Proximal Policy Optimization (PPO).
Update: Adjusts the model’s output distribution to favor helpful, safe, and high-quality responses, while preserving alignment with the fine-tuned baseline."
Code access,Does the developer release code that allows third-parties to train and run the model?,The released code does not need to match the code used internally. ,"As a part of our model release process, we submit PRs enabling inferencing support for all Granite models in vLLM (https://github.com/vllm-project/vllm), and training support for all Granite models in Hugging Face PEFT (https://github.com/huggingface/peft).  An open sourced version of the code used to pretrain Granite models can be found at https://github.com/open-lm-engine; to support community reference implementations, a full description of the Granite architecture and technical parameters can be found in the publicly-available Granite Technical Report and model config files posted on Hugging Face."
Organization chart,How are employees developing and deploying the model organized internally? ,"To receive a point, the developer should provide both the internal organization chart for the team developing the model as well as the headcounts (or a proportion of headcounts) by the team.","The model team is structured as follows, with the following proportional headcount:
- CEO
-- AI Research VP
--- AI Model VP: 
---- Data and Tools Director: 26%
---- Model Training Distinguished Engineer: 5%
---- Advanced LLM Technologies and Applications Director: 37%
---- Model Safety Director: 26%
---- Strategy and Go-to-Market Director: 5%"
Model cost,What is the cost of building the model?,"Monetary cost should be reported in appropriate currency (e.g. USD), along with the measurement methodology, which may involve estimation. Cost should be reported to a precision of one significant figure (e.g. 200 million USD). ","We estimate our total Granite 3 8B model cost to be $10M, where $4M was spent on data processing, $2M is spent on hyperparameter searches, and $2M on the final pre-training run, and $2M on post-training and post-training experiments.
Our costs are projected using GPU hours during the Granite 3 training period and an average market cost assumption of $2.25/gpu-hr (H100).  For activities that are shared across multiple models being trained during that period of time (e.g. multiple models benefited from the same data processing work), we calculated the percent of final pre-training run hours that was driven by Granite 3 8B, and applied that percentage across shared categories."
Basic model properties,Are all basic model properties disclosed?,"Basic model properties include: the input modality, output modality, model size, model components, and model architecture. To receive a point, all model properties should be disclosed. Modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs. Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module. Model size should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder). Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently; a sufficient disclosure includes any clear, though potentially incomplete, description of the model architecture.","Granite 3
Input modality: Text
Output modality: Text
Model components:  Decoder-only model trained using self-supervised learning, followed by supervised fine tuning and RL.
Model size: 2B, 8B parameters
Model architecture:  decoder-only dense transformer architecture, ROPE

Granite 4
Input modality: Text
Output modality: Text
Model components: Decoder-only model trained using self-supervised learning, followed by supervised fine tuning and RL.
Model size: 7B-A1B, 30B-A6B parameters
Model architecture: fine-grained hybrid mamba2-dense mixture-of-experts (MoE) architecture, NOPE"
Deeper model properties,Is a detailed description of the model architecture disclosed?,"To receive a point, the model architecture should be described in enough detail to allow for an external entity to fully implement the model. Publicly available code or a configuration file for a model training library (e.g., GPT-NeoX) would be a sufficiently detailed description.","Architecture configuration file can be found here: 
Granite3 - https://github.com/huggingface/transformers/blob/main/src/transformers/models/granite/configuration_granite.py
Granite4 - https://github.com/huggingface/transformers/blob/main/src/transformers/models/granitemoeshared/configuration_granitemoeshared.py

Model training code can be found at https://github.com/open-lm-engine/lm-engine"
Model dependencies,Is the model(s) the model is derived from disclosed?,"We will award this point for a comprehensive disclosure of the model or models on which the foundation model directly depends on or is derived from, as well as the method by which it was derived (e.g., through fine tuning, model merging, or distillation). Additionally, we will award a point if the developer discloses that the model is not dependent on or derived from any model.",The model is not dependent on or derived from any other model. We train this model from scratch. 
Benchmarked inference,Is the compute and time required for model inference disclosed for a clearly-specified task on clearly-specified hardware?,The duration should be reported in seconds to a precision of one significant figure (e.g. 0.002 seconds). Compute usage for inference should be reported in FLOPs/second to a precision of one significant figure (e.g. 5 x 10^21 FLOPs/second). The hardware in this evaluation need not be the hardware the developer uses for inference. The developer can report this figure over some known or public dataset.,"It takes approximately 25.6 seconds and 1.9 petaFLOPs of total compute — or an effective throughput of 75 teraFLOPs per second — to generate 128,000 tokens as 1,000 sequences of 128 output tokens, each with an input context of 1,024 tokens sampled from ShareGPT [1,2]. The hardware tested is one NVIDIA A100 card with 80 GB of HBM memory running granite-3.1-8b (BF16) with vLLM 0.8.5.post1 operating at a batch size of 256 (concurrent requests being processed at a time) for optimal throughput efficiency.
[1] https://github.com/vllm-project/vllm/tree/main/benchmarks
[2] https://huggingface.co/datasets/anon8231489123/ShareGPT_Vicuna_unfiltered"
Researcher credits,Is a protocol for granting external entities API credits for the model disclosed?,"A model credit access protocol refers to the steps, requirements, and considerations involved in granting credits to external entities. We will award this point if the developer discloses key details of its protocol, including (i) where external entities can request access to credits (e.g. via an access request form); (ii) explicit criteria for selecting external entities; and (iii) its policy on granting a transparent decision on whether access has been granted within a specified, reasonable period of time. Additionally, we will award a point if the developer discloses that it does not grant external entities API credits.","Any academic collaborator in the MIT-IBM Watson AI Lab (joint research partnership between MIT and IBM) can request API access to IBM-hosted Granite models to support model evaluation in their research projects. To do so, the requestor must request access through their dedicated IBM Principal Investigator (PI). The IBM PI is their dedicated focal point for this ask. Select commercial entities exploring partnership opportunities with IBM are also provided API credits in order to evaluate Granite model performance, these credits are offered by invitation only, from the AI Research Partnerships Lead based on alignment of business interests. Kindly note that we do not offer a process to the general public to access API credits at this time."
Specialized access,Does the developer disclose if it provides specialized access to the model?,"Specialized access could include several categories, such as early access, subsidized access, or deeper access (e.g., to model weights or checkpoints, that are not publicly available). We will award this point if the developer discloses (i) if it provides specialized access and (ii) statistics on the number of users granted access across academia, industry, non-profits, and governments, to one significant figure.","Early Access: We have provided early API access to Granite to 2 leaderboard providers and 2 external red teaming partners.  We also have provided early access to the model weights to 7 commercial launch partners. One leaderboard provider is an industry affiliate, one leaderboard provider is an academic affiliate, the 2 external red teaming partners are industry.

Subsidized Access (post-release): 66 academics in the MIT-IBM Watson AI Lab and 4 commercial entities have been provided subsidized access for model evaluation.  We are also in the process of setting up specialized access to HackerOne-vetted white hat hackers through a bug bounty program, which is targeted for launch in the Summer 2025.  

Deeper Access: IBM provides early checkpoints, not otherwise available, to Red Hat, an IBM Subsidiary."
Open weights,Are the model's weights openly released?,"To receive this point, model weights need to be publicly available at no cost. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via a license or some high-level description of who has been granted access to the foundation model).","Yes, model weights are available on HuggingFace under an Apache 2.0 license by following this link: https://huggingface.co/ibm-granite"
Agent Protocols,Are the agent protocols supported for the model disclosed?,"Agent protocols are specifications that define how autonomous agents exchange messages, context, or function calls with other agents, tools, or services (e.g., Anthropic’s Model Context Protocol (MCP) and Google’s Agent‑to‑Agent (A2A) spec). To earn this point, documentation must enumerate each protocol and describe any deviations or proprietary extensions. ","Granite supports IBM's Agent Context Protocol (ACP), which is built off of MCP.  More details and documentation on ACP can be found here: https://research.ibm.com/blog/agent-communication-protocol-ai; https://agentcommunicationprotocol.dev/introduction/welcome"
Capabilities taxonomy,Are the specific capabilities or tasks that were optimized for during post-training disclosed?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for a list of capabilities specifically optimized for in the post-training phase of the model, even if some of the capabilities are not reflected in the final model.","We focus on the following capabilities during post-training: 
- instruction following 
- reasoning 
- code   
- math   
- safety"
Capabilities evaluation,Does the developer evaluate the model's capabilities prior to its release and disclose them concurrent with release?,"The evaluations must contain precise quantifications of the model's behavior in relation to the capabilities specified in the capabilities taxonomy. We will award this point for any clear, but potentially incomplete, evaluation of multiple capabilities.","We evaluate capabilities using the following benchmarks:
- instruction following: ArenaHard (57.56), AlpacaEval (62.68), IFEval (74.82)
- reasoning: BigBenchHard (69.13), DROP (59.36)
- code: HumanEval (89.73), HumanEval+ (86.09)
- math: GSM8K (80.89), Math500 (69.02), AIME2024 (8.12)
- safety: AttaQ (8.15), TruthfulQA (66.86)"
External reproducibility of capabilities evaluation,Are code and prompts that allow for an external reproduction of the evaluation of model capabilities disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all capability evaluations to be reproduced. The released code must be open source, following the OSI definition of open source.",All of the benchmarks are from open-sourced benchmarks and can be recreated using common evaluation frameworks such as lm-eval (https://github.com/EleutherAI/lm-evaluation-harness).
Train-test overlap,Does the developer measure and disclose the overlap between the training set and the dataset used to evaluate model capabilities?,"We will award this point if, with every capability evaluation for which the developer reports results, the developer reports the overlap between the training set of the model and the dataset used for evaluation, as well as the general methodology for computing train-test overlap (e.g. a description of how n-gram matching was used). ","We did not measure this for Granite 3 models, but will be releasing a technical report later this summer for Granite 4 models.  The report will calculate the test-train overlap, using a similar process as reported in Tulu3."
Risks taxonomy,Are the risks considered when developing the model disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. These consequences or outcomes may arise from model limitations (functions that the model cannot perform) or issues with the model's trustworthiness (e.g., its lack of robustness, reliability, calibration). We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for a complete list of risks considered, even if some of the risks are not reflected in the final model.","We consider the following risks when developing and evaluating the model:
1) Explicit content
2) Deception
3) Discrimination
4) Harmful information
5) Violence
6) Substance abuse 
7) PII leakage"
Risks evaluation,Does the developer evaluate the model's risks prior to its release and disclose them concurrent with release?,The evaluations must contain precise quantifications of the model's behavior in relation to the risks specified in the risk taxonomy. We will award this point for clear evaluations of the majority of the states risks.,"We evaluate the risks for each of the harms as measured by the ATTAQ framework (high score is good): 
Granite-3.0-8B-Instruct
1) Explicit content - 0.85
2) Deception - 0.87
3) Discrimination - 0.85
4) Harmful information - 0.86
5) Violence - 0.86
6) Substance abuse - 0.84 
7) PII leakage - 0.81"
External reproducibility of risks evaluation,Are code and prompts to allow for an external reproduction of the evaluation of model risks disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all risk evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source.",The prompts to run these evaluations are open-sourced and can be found at this link: https://huggingface.co/datasets/ibm-research/AttaQ
