Indicator,Definition,Notes,Disclosure,Justification,References,Score
Compute usage for final training run,Is the amount of compute used in the model's final training run disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 5 x 10^25 FLOPs). This number should represent the compute used to train the final model across all model stages.","1.2 x 10^24. FLOPs ≈ 6 × N_active × T, which reflects forward + backward (backward ≈ 2× forward) and the usual training update overhead. With N_active = 50B and T = 4T tokens, this is 6 × 5×10^10 × 4×10^12 ≈ 1.2 x 10^24 FLOPs, which we report (per guidance) as ~1 x 10^24 FLOPs to one significant figure. This matches common practice (the “6ND” rule) and detailed per-layer accounting differs by only ~1–10%.",1.2 x 10^24 FLOPs using conventional estimation methods.,,1
Compute usage including R&D,"Is the amount of compute used to build the model, including experiments, disclosed?","Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 7 x 10^26 FLOPs). Compared to the previous indicator, this indicator should include an estimation of the total compute used across experiments used towards the final training run for the model (such as including hyperparameter optimization or other experiments), and not just the final training run itself.","3 x 10^25 FLOPs. We start from the final-run estimate of ≈ 1.2 × 10^24 FLOPs using the standard 6 × N_active × T approximation for dense/decoder LLMs (forward + backward + update overhead). We then aggregate FLOPs across experiments that informed the final model—architecture/scaling ablations, hyperparameter sweeps on smaller/medium variants, data-mixture/tokenizer trials, MoE routing/top-k studies, alignment/SFT/RLHF iterations, and early-stopped runs—based on scheduler/job-accounting logs, normalizing each run via the same 6 N_active T method.",3 x 10^25 FLOPs with detailed discussion of estimation methodology,,1
Development duration for final training run,Is the amount of time required to build the model disclosed?,"The amount of time should be specified in terms of both the continuous duration of time required and the number of hardware hours used. The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). The number of hardware hours should be reported to a precision of one significant figure and include the type of hardware hours. No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, or training and subsequent evaluation and red teaming).","Our model was trained over approximately 4 weeks of continuous training time – deployed in clusters of 512 GPUs (mixed A100/H100)

As such, estimated Total Compute Time = 340,000 GPU-hours (A100 and H100)

",4 weeks and 340000 Nvidia A100 and H100 GPU hours.,,1
Compute hardware for final training run,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.","Our model was trained using 512 NVIDIA H100s.

",512 Nvidia H100 GPUs,,1
Compute provider,Is the compute provider disclosed?,"For example, the compute provider may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that compute is provided by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.","Compute is provided by Lambda Labs and AWS

","Lambda Labs, AWS",,1
Energy usage for final training run,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh), along with a description of the measurement methodology, which may involve estimation. Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.","Estimated Total Compute Time: 340,000 GPU-hours (A100 and H100)

Average Power Consumption: ~0.4 kW per A100-equivalent GPU (including datacenter overhead)

Energy Usage Estimate:
 340,000 GPU-hours×0.4 kW=≈140 megawatt-hours (MWh)340{,}000 \text{ GPU-hours} \times 0.4 \text{ kW} = \boxed{≈ 140 \text{ megawatt-hours (MWh)}}340,000 GPU-hours×0.4 kW=≈140 megawatt-hours (MWh)​

Scope: Includes only the final model training (pretraining + fine-tuning). Does not include R&D or hyperparameter tuning.

",140 MWh with an estimation methodology of multiplying GPU time by average overhead-adjusted power consumption for GPU factor of 0.4,,1
Carbon emissions for final training run,Is the amount of carbon emitted in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2), along with a description of the measurement methodology, which may involve estimation. Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lack and why it lacks it. Emissions should correspond with the energy used in the previous indicator.","Methodology: We used the U.S. average grid carbon intensity of ~0.39 kg CO₂/kWh (EIA 2023).


Estimated Emissions:
 140,000 kWh×0.39 kg CO₂/kWh=≈55 metric tons of CO₂ (tCO₂)140{,}000 \text{ kWh} \times 0.39 \text{ kg CO₂/kWh} = \boxed{≈ 55 \text{ metric tons of CO₂ (tCO₂)}}140,000 kWh×0.39 kg CO₂/kWh=≈55 metric tons of CO₂ (tCO₂)​

Note: If cleaner energy sources were used (e.g., hydro or carbon-neutral credits), this figure could be lower, but such information was not available from the compute providers.

",55tCO2eq with estimation methodology of multiplying energy usage by average carbon intensity for US grid.,,1
Water usage for final training run,Is the amount of clean water used in building the model disclosed?,"Clean water usage should be in appropriate units, which most often will be megaliters, along with a description of the measurement methodology, which may involve estimation. Clean water usage should be reported to a precision of one significant figure (e.g., 5000ML). No form of decomposition into compute phases is required, but it should be clear whether the reported water usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitates water usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.","Methodology: Water usage is estimated based on recent literature indicating ~0.2 liters of water used per kWh in datacenter cooling (adjusted for energy source and location).


Estimated Clean Water Usage:
 140,000 kWh×0.2 L/kWh=28,000 L=≈0.03 megaliters (ML)140{,}000 \text{ kWh} \times 0.2 \text{ L/kWh} = 28{,}000 \text{ L} = \boxed{≈ 0.03 \text{ megaliters (ML)}}140,000 kWh×0.2 L/kWh=28,000 L=≈0.03 megaliters (ML)​

Limitations: This figure is a lower-bound estimate. Actual water usage varies depending on local cooling systems (evaporative vs. air), regional climate, and energy grid mix.

","0.03ML with estimation methodology of multiplying energy usage by estimate of water usage for data center cooling, acknowledging it is a lower bound given other uses of water in data center operation.",,1
Internal compute allocation,How is compute allocated across the teams building and working to release the model?,"To receive a point, the developer should provide the compute allocated to each team involved in training the model. We understand there might be no clear allocation of compute across different teams; in that case, report an estimate of the compute used over the last year. Compute allocation should be reported to at least one significant figure.","Pretraining Infrastructure - 40%
Domain Fine-Tuning & RLHF - 25%
Research & Ablation Studies - 15%
Red-Teaming & Evaluation - 10%
Deployment Optimization -5%
Alignment & Safety Auditing - 5%

",Compute allocation across different components of model training is provided.,,1
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.","1. Pretraining on Diverse, High‑Quality Data (Stage 1 – Broad Corpus Training, Stage 2 – Domain‑Specific Refinement) 
2. Fine‑Tuning for Enterprise Applications
3. Direct Preference Optimization for Alignment

","3 stages (pretraining, which is split into 2 substages; fine-tuning; DPO) are described.",,1
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).","The objective and purpose of the model training steps falls under the general umbrella of our training methodology. Put another way, these are the methods and thought processes we have that underly our model development, all of which are intended to promote reliability and accuracy and protect against the risks outlined  Pretraining 
We begin with pretraining on a high volume of diverse, high-quality data using a number of pre-processing techniques and analysis to promote data quality, format, filtering, and structure. We also employ several measures to safeguard individual privacy rights, including by obscuring and removing personal identifiers through a number of privacy enhancing techniques including differential privacy and k-anonymity. 

Fine-tuning
Following the pretraining phase, Palmyra X5 underwent supervised fine‑tuning across several key domains with a focus on enterprise use cases across finance, healthcare, legal, and other industry verticals. Our approach to targeted fine‑tuning makes Palmyra X5 not only powerful in general language understanding, but also highly adaptable to the specific needs of enterprise environments.

Direct preference optimization (DPO)
Finally, to align Palmyra X5 with user expectations and real‑world requirements, we utilize a direct preference optimization (DPO) approach. This strategy enhances stability in that it bypasses some of the instabilities found in traditional reinforcement learning from human feedback (RLHF), focuses on contrastive learning by leveraging contrastive losses on carefully selected preference pairs to improve the model’s output quality, and maintains efficiency in that it is particularly suited to long‑context learning tasks so that the model remains responsive even with extended input.

","While the developer describes an overall logic of high-level objectives for model training (i.e. maximizing accuracy, maximizing reliability, minimizing risks), the specific reason/objective for each step is not clearly articulated, with the disclosure instead addressing how the steps were operationalized procedurally (i.e. how the stage was executed rather than why).",,0
Code access,Does the developer release code that allows third-parties to train and run the model?,The released code does not need to match the code used internally. ,We do not release code underlying Palmyra X5,No code provided.,,0
Organization chart,How are employees developing and deploying the model organized internally? ,"To receive a point, the developer should provide both the internal organization chart for the team developing the model as well as the headcounts (or a proportion of headcounts) by the team.","Office of the CTO - 1

AI researchers (domain fine tuning & RLHF, research & ablation studies) - 8

ML Ops (Pretraining infra, deployment optimization) - 2

Content analyst (red teaming & evaluation, alignment & safety auditing) - 4

Partnerships - 1

Product marketing - 1

AI SWE - 5

",Headcount is provided across the organization.,,1
Model cost,What is the cost of building the model?,"Monetary cost should be reported in appropriate currency (e.g. USD), along with the measurement methodology, which may involve estimation. Cost should be reported to a precision of one significant figure (e.g. 200 million USD). ","Around 7-8million - with 6M on compute and around 1.5M around R&D

",$7.5M with 6M for compute and 1.5M for R&D,,1
Basic model properties,Are all basic model properties disclosed?,"Basic model properties include: the input modality, output modality, model size, model components, and model architecture. To receive a point, all model properties should be disclosed. Modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs. Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module. Model size should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder). Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently; a sufficient disclosure includes any clear, though potentially incomplete, description of the model architecture.","Input modality: Text, images
Output modality: Text, structured
Model components: Decoder-only model trained using self-supervised learning, followed by supervised fine-tuning and DPO that are used to align the model to follow users' instructions across several enterprise domains.
Model size: 456B
Model architecture: Hybrid transformer architecture that effectively balances dense and sparse computation using hybrid attention mechanisms and Mixture of Experts (MoE). This allows the model to maintain high levels of coherence across long contexts, without sacrificing efficiency or scale.

",All basic model properties are disclosed.,,1
Deeper model properties,Is a detailed description of the model architecture disclosed?,"To receive a point, the model architecture should be described in enough detail to allow for an external entity to fully implement the model. Publicly available code or a configuration file for a model training library (e.g., GPT-NeoX) would be a sufficiently detailed description.",Not disclosed,The developer does not disclose this information.,,0
Model dependencies,Is the model(s) the model is derived from disclosed?,"We will award this point for a comprehensive disclosure of the model or models on which the foundation model directly depends on or is derived from, as well as the method by which it was derived (e.g., through fine tuning, model merging, or distillation). Additionally, we will award a point if the developer discloses that the model is not dependent on or derived from any model.",Palmyra X5 is not dependent on or derived from any model.,The developer discloses that the model is not dependent on or derived from another model.,,1
Benchmarked inference,Is the compute and time required for model inference disclosed for a clearly-specified task on clearly-specified hardware?,The duration should be reported in seconds to a precision of one significant figure (e.g. 0.002 seconds). Compute usage for inference should be reported in FLOPs/second to a precision of one significant figure (e.g. 5 x 10^21 FLOPs/second). The hardware in this evaluation need not be the hardware the developer uses for inference. The developer can report this figure over some known or public dataset.,"We benchmarked Palmyra X5 on a long-context summarization task over a 2,048-token document input and a 256-token output length. Hardware is H100s. 

Around 0.12 seconds and 5 x 10^14 FLOPs/second

",Compute and time on specified hardware/tasks are disclosed.,,1
Researcher credits,Is a protocol for granting external entities API credits for the model disclosed?,"A model credit access protocol refers to the steps, requirements, and considerations involved in granting credits to external entities. We will award this point if the developer discloses key details of its protocol, including (i) where external entities can request access to credits (e.g. via an access request form); (ii) explicit criteria for selecting external entities; and (iii) its policy on granting a transparent decision on whether access has been granted within a specified, reasonable period of time. Additionally, we will award a point if the developer discloses that it does not grant external entities API credits.",We do not have a researcher access program. ,The developer discloses that they do not have a researcher access program.,,1
Specialized access,Does the developer disclose if it provides specialized access to the model?,"Specialized access could include several categories, such as early access, subsidized access, or deeper access (e.g., to model weights or checkpoints, that are not publicly available). We will award this point if the developer discloses (i) if it provides specialized access and (ii) statistics on the number of users granted access across academia, industry, non-profits, and governments, to one significant figure.","We provide early beta access to select customers. 

Update: We provided early access to a select group of approximately 10 existing customers with ~2 users per customer.","The statistics on specialized access granted (across academia, industry, non-profits, and governments to one significant figure) is not disclosed.",,0
Open weights,Are the model's weights openly released?,"To receive this point, model weights need to be publicly available at no cost. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via a license or some high-level description of who has been granted access to the foundation model).","Not applicable for Palmyra X5, which is a closed model",The weights are not openly released.,,0
Agent Protocols,Are the agent protocols supported for the model disclosed?,"Agent protocols are specifications that define how autonomous agents exchange messages, context, or function calls with other agents, tools, or services (e.g., Anthropic’s Model Context Protocol (MCP) and Google’s Agent‑to‑Agent (A2A) spec). To earn this point, documentation must enumerate each protocol and describe any deviations or proprietary extensions. ","We support MCP and A2A for agents built using Palmyra X5.

Please see https://developers.googleblog.com/en/a2a-a-new-era-of-agent-interoperability/   ",The developer discloses the agent protocols supported (MCP and A2A).,,1
Capabilities taxonomy,Are the specific capabilities or tasks that were optimized for during post-training disclosed?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for a list of capabilities specifically optimized for in the post-training phase of the model, even if some of the capabilities are not reflected in the final model.","We focus on the following capabilities during post-training: 
- Domain-specific knowledge
- Tool use
- Retrieval

",The developer discloses the capabilities optimized for during post-training.,,1
Capabilities evaluation,Does the developer evaluate the model's capabilities prior to its release and disclose them concurrent with release?,"The evaluations must contain precise quantifications of the model's behavior in relation to the capabilities specified in the capabilities taxonomy. We will award this point for any clear, but potentially incomplete, evaluation of multiple capabilities.","We evaluate capabilities using the following benchmarks:

BBH 
GPQA
IFEval
MATH_HARD
MMLU-Pro
MuSR
OpenAI-MRCR
BigCodeBench



Updated: Please see https://writer.com/engineering/long-context-palmyra-x5/, which includes evaluation results.","The provided link includes evaluation results for all of the benchmarks. The specific evaluation results corresponding to at least two of the capabilities specified in the previous indicator can also be reasonably inferred: e.g., MMLU-Pro for Domain-specific knowledge and OpenAI-MRCR for retrieval.",,1
External reproducibility of capabilities evaluation,Are code and prompts that allow for an external reproduction of the evaluation of model capabilities disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all capability evaluations to be reproduced. The released code must be open source, following the OSI definition of open source.",We do not disclose code and prompts for an external reproduction of the evaluation of model capabilities. ,The developer does not disclose this information.,,0
Train-test overlap,Does the developer measure and disclose the overlap between the training set and the dataset used to evaluate model capabilities?,"We will award this point if, with every capability evaluation for which the developer reports results, the developer reports the overlap between the training set of the model and the dataset used for evaluation, as well as the general methodology for computing train-test overlap (e.g. a description of how n-gram matching was used). ","We evaluated train-test overlap using n-gram matching using the procedure described here: https://github.com/stanford-crfm/data-overlap 

","The methodology is disclosed, but the amount of overlap itself is not.",,0
Risks taxonomy,Are the risks considered when developing the model disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. These consequences or outcomes may arise from model limitations (functions that the model cannot perform) or issues with the model's trustworthiness (e.g., its lack of robustness, reliability, calibration). We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for a complete list of risks considered, even if some of the risks are not reflected in the final model.","We evaulate a number of risks during the model development release and disclose those risks an technical report we will make available to our customers under NDA. These risks include, but are not necessarily limited to, general model safety and usage, accuracy, bias and discrimination, misinformation and harmful content, privacy, and security.



Updated: To clarify, the risks we evaluated included: (1) bias and discrimination; (2) misinformation and harmful content; (3) explainability/transparency - put another way, reliability and trustworthiness; and (4) privacy and security.",The developer discloses the risks considered when developing the model.,,1
Risks evaluation,Does the developer evaluate the model's risks prior to its release and disclose them concurrent with release?,The evaluations must contain precise quantifications of the model's behavior in relation to the risks specified in the risk taxonomy. We will award this point for clear evaluations of the majority of the states risks.,Not disclosed,The developer does not disclose this information.,,0
