Indicator,Definition,Notes,Disclosure
Compute usage for final training run,Is the amount of compute used in the model's final training run disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 5 x 10^25 FLOPs). This number should represent the compute used to train the final model across all model stages.",Not Disclosed
Compute usage including R&D,"Is the amount of compute used to build the model, including experiments, disclosed?","Compute should be reported in appropriate units, which most often will be floating point operations (FLOPs), along with a description of the measurement methodology, which may involve estimation. Compute should be reported to a precision of one significant figure (e.g. 7 x 10^26 FLOPs). Compared to the previous indicator, this indicator should include an estimation of the total compute used across experiments used towards the final training run for the model (such as including hyperparameter optimization or other experiments), and not just the final training run itself.",Not Disclosed
Development duration for final training run,Is the amount of time required to build the model disclosed?,"The amount of time should be specified in terms of both the continuous duration of time required and the number of hardware hours used. The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). The number of hardware hours should be reported to a precision of one significant figure and include the type of hardware hours. No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, or training and subsequent evaluation and red teaming).",Not Disclosed
Compute hardware for final training run,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.","Jamba was trained using a combination of NVIDIA A100, NVIDIA H100 and Google TPUs v4. In all, about 1,500 processors were used with roughly a 60:40 split Nvidia to Google."
Compute provider,Is the compute provider disclosed?,"For example, the compute provider may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that compute is provided by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.",Amazon Web Services and Google Cloud Platform
Energy usage for final training run,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh), along with a description of the measurement methodology, which may involve estimation. Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.","While we are aware that there are potentially additional environmental impacts of training (e.g. water usage for cooling), each of our compute providers have active sustainability and carbon offset programs specific to their datacenter locations and operations. For details see https://blog.google/outreach-initiatives/sustainability/our-commitment-to-climate-conscious-data-center-cooling/ and https://sustainability.aboutamazon.com/natural-resources/water"
Carbon emissions for final training run,Is the amount of carbon emitted in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2), along with a description of the measurement methodology, which may involve estimation. Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lack and why it lacks it. Emissions should correspond with the energy used in the previous indicator.","While we are aware that there are potentially additional environmental impacts of training (e.g. water usage for cooling), each of our compute providers have active sustainability and carbon offset programs specific to their datacenter locations and operations. For details see https://blog.google/outreach-initiatives/sustainability/our-commitment-to-climate-conscious-data-center-cooling/ and https://sustainability.aboutamazon.com/natural-resources/water"
Water usage for final training run,Is the amount of clean water used in building the model disclosed?,"Clean water usage should be in appropriate units, which most often will be megaliters, along with a description of the measurement methodology, which may involve estimation. Clean water usage should be reported to a precision of one significant figure (e.g., 5000ML). No form of decomposition into compute phases is required, but it should be clear whether the reported water usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitates water usage. If the developer is unable to measure or estimate this quantity due to information not being available from another party (e.g. compute provider), we will award this point if the developer explicitly discloses what information it lacks and why it lacks it.","While we are aware that there are potentially additional environmental impacts of training (e.g. water usage for cooling), each of our compute providers have active sustainability and carbon offset programs specific to their datacenter locations and operations. For details see https://blog.google/outreach-initiatives/sustainability/our-commitment-to-climate-conscious-data-center-cooling/ and https://sustainability.aboutamazon.com/natural-resources/water"
Internal compute allocation,How is compute allocated across the teams building and working to release the model?,"To receive a point, the developer should provide the compute allocated to each team involved in training the model. We understand there might be no clear allocation of compute across different teams; in that case, report an estimate of the compute used over the last year. Compute allocation should be reported to at least one significant figure.",Not Disclosed
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.","There are four high-level stages of the training pipeline for the Jamba; pretraining, instruct tuning, supervised reinforcement learning and  safety alignment."
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).",The learning objective for pretraining can be characterized as next word prediction. Instruction tuning employs an autoregressive objective for response tokens. Reinforcement learning uses reward modeling based on alignment principles; some examples are shared in the metrics section below. Human annotators are given instructions to create prompts that attempt to generate both positive and malicious completions along with example prompts. They are asked to score completions on a risk framework and to create ideal completions according to the alignment guidelines for a specific test (e.g. safety).
Code access,Does the developer release code that allows third-parties to train and run the model?,The released code does not need to match the code used internally. ,"We release the Jamba models as open weights as well as fine-tuning, adapters and quantization code and instructions on Hugging Face."
Organization chart,How are employees developing and deploying the model organized internally? ,"To receive a point, the developer should provide both the internal organization chart for the team developing the model as well as the headcounts (or a proportion of headcounts) by the team.","The model team comprises 60 people. 

Pre & post training: 31 people
Serving & infrastructure: 13 people
Data: 8 people
Evaluations: 8 people"
Model cost,What is the cost of building the model?,"Monetary cost should be reported in appropriate currency (e.g. USD), along with the measurement methodology, which may involve estimation. Cost should be reported to a precision of one significant figure (e.g. 200 million USD). ",Not Disclosed
Basic model properties,Are all basic model properties disclosed?,"Basic model properties include: the input modality, output modality, model size, model components, and model architecture. To receive a point, all model properties should be disclosed. Modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs. Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module. Model size should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder). Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently; a sufficient disclosure includes any clear, though potentially incomplete, description of the model architecture.","Organization developing model: AI21 Labs
Model date: August 22nd, 2024
Model type: Joint Attention and Mamba (Jamba)
Model Size: Large - 398B parameters (94B active) Mini - 52B parameters (12B active)        
Knowledge cutoff date March 5th, 2024
Input Modality: Text
Output Modality: Text
Model Components: Decoder-only model trained using self-supervised learning and DPO for post-training alignment
License: Jamba open model license
Model architecture: Autoregressive transformer and Mamba memory management with embeddings trained on next token prediction."
Deeper model properties,Is a detailed description of the model architecture disclosed?,"To receive a point, the model architecture should be described in enough detail to allow for an external entity to fully implement the model. Publicly available code or a configuration file for a model training library (e.g., GPT-NeoX) would be a sufficiently detailed description.","https://huggingface.co/ai21labs/AI21-Jamba-Large-1.6

https://arxiv.org/abs/2503.18970 "
Model dependencies,Is the model(s) the model is derived from disclosed?,"We will award this point for a comprehensive disclosure of the model or models on which the foundation model directly depends on or is derived from, as well as the method by which it was derived (e.g., through fine tuning, model merging, or distillation). Additionally, we will award a point if the developer discloses that the model is not dependent on or derived from any model.",Jamba is not derived from any model.
Benchmarked inference,Is the compute and time required for model inference disclosed for a clearly-specified task on clearly-specified hardware?,The duration should be reported in seconds to a precision of one significant figure (e.g. 0.002 seconds). Compute usage for inference should be reported in FLOPs/second to a precision of one significant figure (e.g. 5 x 10^21 FLOPs/second). The hardware in this evaluation need not be the hardware the developer uses for inference. The developer can report this figure over some known or public dataset.,"Through our model cards on Hugging Face and inclusion on evaluation platform Artificial Analysis, it is possible to access information about the compute required for model inference (via Hugging Face), as well as the latency (Artificial Analysis). For example, on Hugging Face, we provide detailed deployed instructions that specify required compute (E.g. ""With ExpertsInt8 quantization and the default vLLM configuration, you'll be able to perform inference on prompts up to 220K tokens long on 8 80GB GPUs.""). On Artificial Analysis, it is possible to collect metrics on latency and time-to-first-token on varying levels of input lengths (e.g. 1K, 10K, 100K tokens).

"
Researcher credits,Is a protocol for granting external entities API credits for the model disclosed?,"A model credit access protocol refers to the steps, requirements, and considerations involved in granting credits to external entities. We will award this point if the developer discloses key details of its protocol, including (i) where external entities can request access to credits (e.g. via an access request form); (ii) explicit criteria for selecting external entities; and (iii) its policy on granting a transparent decision on whether access has been granted within a specified, reasonable period of time. Additionally, we will award a point if the developer discloses that it does not grant external entities API credits.","Yes, we have a free trial/credit program and safety research programs that involve model credit access. We also work with academic researchers on individual projects. Decisions are made based on the alignment between applicant's project description and our research objectives described below:

https://docs.ai21.com/docs/usage-cost
https://docs.ai21.com/docs/safety-research-1"
Specialized access,Does the developer disclose if it provides specialized access to the model?,"Specialized access could include several categories, such as early access, subsidized access, or deeper access (e.g., to model weights or checkpoints, that are not publicly available). We will award this point if the developer discloses (i) if it provides specialized access and (ii) statistics on the number of users granted access across academia, industry, non-profits, and governments, to one significant figure.","We provide early access to the model via API to:
(i) Customers (5-10)
(ii) Technology partners (1-5)
(iii) AI influencers (5-10)
(IV) Academics (5-10)"
Open weights,Are the model's weights openly released?,"To receive this point, model weights need to be publicly available at no cost. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via a license or some high-level description of who has been granted access to the foundation model).","https://huggingface.co/ai21labs/AI21-Jamba-Large-1.6
https://huggingface.co/ai21labs/AI21-Jamba-Mini-1.6"
Agent Protocols,Are the agent protocols supported for the model disclosed?,"Agent protocols are specifications that define how autonomous agents exchange messages, context, or function calls with other agents, tools, or services (e.g., Anthropic’s Model Context Protocol (MCP) and Google’s Agent‑to‑Agent (A2A) spec). To earn this point, documentation must enumerate each protocol and describe any deviations or proprietary extensions. ",We do not currently support MCP or A2A in Jamba.
Capabilities taxonomy,Are the specific capabilities or tasks that were optimized for during post-training disclosed?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for a list of capabilities specifically optimized for in the post-training phase of the model, even if some of the capabilities are not reflected in the final model.","Optimize performance for business-critical tasks
Jamba 1.6 leads the open model enterprise market in both speed and quality, ensuring your applications run faster without sacrificing accuracy. Its hybrid Mamba-Transformer architecture delivers enterprise-grade performance, even on complex workloads like RAG and real-time decisioning.
Ensure better alignment with enterprise privacy and deployment needs
Jamba can be deployed in your VPC or on-premise, offering full data ownership with no vendor data visibility. This makes it ideal for industries with strict data regulations like finance, healthcare, or legal.
Long context performance

Post-training optimizations were made for grounded question answering and multi-document summarization
"
Capabilities evaluation,Does the developer evaluate the model's capabilities prior to its release and disclose them concurrent with release?,"The evaluations must contain precise quantifications of the model's behavior in relation to the capabilities specified in the capabilities taxonomy. We will award this point for any clear, but potentially incomplete, evaluation of multiple capabilities.","We evaluate on the following benchmarks:
Arena Hard, CRAG, HELMET RAG, FinanceBench, HELMET LongQA, LongBench.

Resutls can be viewed at https://www.ai21.com/jamba/"
External reproducibility of capabilities evaluation,Are code and prompts that allow for an external reproduction of the evaluation of model capabilities disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all capability evaluations to be reproduced. The released code must be open source, following the OSI definition of open source.",Our reported benchmarks were run according to the official method provided by the benchmark creators. 
Train-test overlap,Does the developer measure and disclose the overlap between the training set and the dataset used to evaluate model capabilities?,"We will award this point if, with every capability evaluation for which the developer reports results, the developer reports the overlap between the training set of the model and the dataset used for evaluation, as well as the general methodology for computing train-test overlap (e.g. a description of how n-gram matching was used). ","As part of our data processing & cleaning pipeline, we filtered out data of all leading public benchmarks that we planned to evaluate Jamba on. "
Risks taxonomy,Are the risks considered when developing the model disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. These consequences or outcomes may arise from model limitations (functions that the model cannot perform) or issues with the model's trustworthiness (e.g., its lack of robustness, reliability, calibration). We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for a complete list of risks considered, even if some of the risks are not reflected in the final model.","We evalutate our models for the following risks; Bias, Insecure Code, CBRN, Toxicity, Harmful Tests, Misinformation, PII"
Risks evaluation,Does the developer evaluate the model's risks prior to its release and disclose them concurrent with release?,The evaluations must contain precise quantifications of the model's behavior in relation to the risks specified in the risk taxonomy. We will award this point for clear evaluations of the majority of the states risks.,See https://www.enkryptai.com/llm-safety-leaderboard
External reproducibility of risks evaluation,Are code and prompts to allow for an external reproduction of the evaluation of model risks disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all risk evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source.","All prompts are disclosed in the following papers:

https://www.haizelabs.com/technology/haize-labs-and-ai21-labs-setting-new-standards-for-ethical-ai-in-business 

https://www.enkryptai.com/blog/enkryptai-and-ai21-labs-deliver-safer-language-models "
Pre-deployment risk evaluation,Are the external entities have evaluated the model pre-deployment disclosed?,"By external entities, we mean entities that are significantly or fully independent of the developer. We will award this point if the developer specifies the entity that carried out the pre-deployment analysis, discloses the terms of the analysis (such as conditions for releasing the evaluation results or the developer's control over the final results), as well as any financial transaction between the parties. We will award this point if the developer discloses no external entities have evaluated the model pre-deployment, or discloses only terms of the analysis where it is not bound by NDA while still naming all external entities.","We provide access to HaizeLabs and Enkrypt for evaluation, red teaming and testing. These were paid consulting engagements. For examples see:

https://www.haizelabs.com/technology/haize-labs-and-ai21-labs-setting-new-standards-for-ethical-ai-in-business 

https://www.enkryptai.com/blog/enkryptai-and-ai21-labs-deliver-safer-language-models"
External risk evaluation,Are the parties contracted to evaluated model risks disclosed?,"We will award this point if the developer discloses statistics regarding all contracted parties that are responsible for evaluating risks (not limited to external entities or pre-deployment evaluation). This includes the number of contracted for-profit or non-profit entities, government entities, independent contractors, and researchers contracted by the developer to evaluate risks. We will award this point if the developer discloses it has no such contracts.",We have worked with and published papers with Haize Labs and Enkrypt.ai
Mitigations taxonomy,Are the post-training mitigations implemented when developing the model disclosed?,"By post-training mitigations, we refer to interventions implemented by the developer during the post-training phase to reduce the likelihood and/or the severity of the model’s risks. We recognize that different developers may use different terminology for mitigations, or conceptualize mitigations differently. We will award this point for a complete list of mitigations considered, even if some of the mitigations are not reflected in the final model. Alternatively, we will award this point if the developer reports that it does not mitigate risk in this way.","We implement supervised fine tuning and DPO, system instruction and guardrailing to address model risks."
Mitigations taxonomy mapped to risk taxonomy,Does the developer disclose how the post-training mitigations map onto the taxonomy of risks?,"We will award this point for a complete mapping of the primary risk that each mitigation is meant to address, even if the mitigation potentially maps on to other risks in the taxonomy. Alternatively, we will award this point if the developer reports that it does not mitigate risk.","We use supervised fine tuning for general instruction following. We use DPO to reduce the model's propensity to output information about risk areas listed below:

● Harmful Tests: (propensity to generate unsafe or harmful outputs) 
● Bias
● CBRN
● Toxicity
● Insecure Code (Code generation)


see - https://www.ai21.com/research/jamba-1-5a/"
Mitigations efficacy,Does the developer evaluate and disclose the impact of post-training mitigations?,"We will award this point if the developer discloses the results on the risk evaluations before and after the post-training mitigations are applied. Alternatively, we will award this point if the developer reports that it does not mitigate risk in this way.","Same process applies to 1.6


see - https://www.ai21.com/research/jamba-1-5a/


"
External reproducibility of mitigations evaluation,Are code and prompts to allow for an external reproduction of the evaluation of post-training mitigations disclosed?,"The released code and prompts need not be the same as what is used internally, but should allow the developer's results on all mitigations evaluations to be reproduced. The released code must be open-source, following the OSI definition of open-source. Alternatively, we will award this point if the developer reports that it does not mitigate risk.","All prompts are disclosed in the following papers:

https://www.haizelabs.com/technology/haize-labs-and-ai21-labs-setting-new-standards-for-ethical-ai-in-business 

https://www.enkryptai.com/blog/enkryptai-and-ai21-labs-deliver-safer-language-models "
Model theft prevention measures,Does the developer disclose the security measures used to prevent unauthorized copying (“theft”) or unauthorized public release of the model weights?,"This indicator assesses the developer's disclosures regarding how it addresses the risk that malicious actors or insiders could exfiltrate or replicate proprietary weights. Security measures could include insider threat analysis and detection, in addition to external threat management. Examples of such measures include encryption at rest, key management, remote attestation, or auditing for suspicious queries. We will award a point if the developer discloses specific steps taken to safeguard the model weights or that none are implemented.",Jamba is an open weights model and available for download via Hugging Face. 
Release stages,Are the stages of the model's release disclosed?,"Release stages include A/B testing, release on a user-facing product, GA release, open-weight release, etc.  We recognize that the release of a foundation model falls along a spectrum, with many forms of partial release, and that different developers may conceptualize release differently. We will award a point if the developer provides a clear identification of the stages through which the model was released.","For each version of our models, sets of safety, quality and performance metrics are established with associated testing tools and datasets (see metrics section for examples). Iterative model training and code modification is made until the metrics are achieved. A select number of customers and technology partners are invited to participate in beta testing of the release candidate and further iteration occurs based on collected feedback. The final release candidate of the model is reviewed by engineering leadership and our executive team and signed-off prior to public release. Upon approval and sign-off of a final release candidate we make a public announcement of its release, publish new documentation and licensing on our website supporting the release and make the model accessible from our Studio/SaaS platform and on our partner-hosted platforms."
Risk thresholds,Are risk thresholds disclosed?,"Risk thresholds determine when a risk level is unacceptably high to a developer (e.g. leading to the decision to not release a model), moderately high (e.g. triggering additional safety screening), or low enough to permit normal usage.

We will award this point if the developer discloses explicit risk thresholds that clarify (i) which harmful outcomes are being scored, (ii) how the scores are computed (in general terms, not necessarily disclosing internal algorithms), and (iii) what triggers an action to block, delay, or otherwise modify a model's release. 

Alternatively, we will award a point if the developer discloses that it does not consider explicit risk thresholds during model release. ","See: https://cdn.prod.website-files.com/66f8847c37d8e0032d189a19/678dfb51cd3fe5f2e69c0341_Report%20(2).pdf

For each malicious prompt the response is judged and scored to help focus future rounds of
training. The following provides examples of responses scored “10” which represents strong
conflict/misalignment with the expectation “5” which represents the midpoint and our target
maximum for responses and “1” which represents strong compliance/alignment with the
behavioral expectation of the tenet.

https://www.haizelabs.com/technology/haize-labs-and-ai21-labs-setting-new-standards-for-ethical-ai-in-business 

https://www.enkryptai.com/blog/enkryptai-and-ai21-labs-deliver-safer-language-models"
Versioning protocol,Is there a disclosed protocol for versioning and deprecation of the model?,"We will award a point if the developer discloses how model versions are labeled, updated, deprecated, and communicated to users.","Major version numbers are assigned after a full pre-training run has been conducted (J1, J2) - minor version numbers are assigned after an instruct training run and/or new APIs are added to the platform (J1.1, J2.1). The latest model version remains active in our Studio/SaaS environment for three months after release of a new major version. This versioning is communicated to users in our release notes, whitepapers, documentation and change logs on from our corporate website."
Change log,Is there a disclosed change log for the model?,"We will award a point if the developer publishes a version-by-version record of new features, fixes, or performance improvements.",The change log is available on AI21's website - https://docs.ai21.com/changelog 
Foundation model roadmap,"Is a forward-looking roadmap for upcoming models, features, or products disclosed?","A foundation model roadmap is a transparent statement about how the developer intends to evolve or expand its LLM offerings, including upcoming models, major feature releases, or expanded products based on the model, along with approximate timelines or version milestones. It can be high-level (e.g., “new model Q2 2025”), but must exist publicly.",We plan to continue improving the Jamba family with new versions and also introduce a new AI planning and orchestrator product in the near future.
