Indicator,Adept,AI21 Labs,Aleph Alpha,Amazon,Anthropic,BigCode,Google,IBM,Meta,Microsoft,Mistral,OpenAI,Stability,Writer
Use of human labor,,"The creation of a training dataset can be viewed as a pipeline consisting of selection, curation,
filtering, augmentation and ingestion. This process is iterative and involves both human and
machine evaluation in each phase of the pipeline. Employees of AI21 are involved in every
phase and third-party organizations are used in the filtering and augmentation phases of the
data pipeline and in later testing (e.g. red-teaming) to provide external review and validation.","We have leveraged human labor solely via employees employed at Aleph Alpha in Germany (EU), subject to and honoring all employment rights of Germany, including but not limited to German minimum wage and non-discriminatory stipulations, across the full data pipeline for activities related to data collection, annotation, filtering, and validation for all data segments mentioned below.","Human labor is involved in the SFT annotation, RLHF process, and safety filtering. In the Titan Text AI Service Card, we noted: ""Our development process exercises these control levers as follows: 1/ we pre-train the LLM using curated data from a variety of sources, including licensed and proprietary data, open source datasets, and publicly available data where appropriate; 2/ we adjust model weights via supervised fine tuning (SFT) and reinforcement learning with human feedback (RLHF) to increase the alignment between Titan Text LLMs and our design goals; and 3/ we tune safety filters (such as privacy-protecting and profanity-blocking filters) to block or evade potentially harmful prompts and responses to further increase alignment with our design goals.“",,"Workers are used for both data annotation, data cleaning of PII, and further data cleaning. For the last type of data cleaning, it is mentioned that annotators of the community took part in the activity (I assume this was a volunteering effort). For the first two activities, more information is mentioned. Hugging Face funded the data annotation services from Toloka, with a total outlay
of $39,000 paid to crowd workers. We utilized the Toloka platform9
to engage 1,399 crowd-workers from 35 countries in annotating a dataset
for PII in source code. On average, participants completed 206 tasks, earned about $27, and worked 3.1 hours.","Data collection and curation is detailed in Section 7.3.1. Additionally, details on human annotation for fact-checking is detailed in Section 5.1.6.","In Section VI of the technical report, IBM discloses humans creating keyword lists to improve fairness. ",,No human labor is involved.,"At present, the only human resources required for model development are in-house scientific resources and no external human workers have been leveraged.",,,"The use of human labor is discussed extensively in the technical report, both in relation to the fine-tuning stage, and the red teaming stage, and evaluations of safety.
"
Employment of data laborers,,,Aleph Alpha is the sole employer for any human labor involved in the data pipeline.,,,Toloka is mentioned in each publication. More information about the community volunteers is also discussed (18 community annotators).,,Data is curated by IBM as described in Section I-B of the technical report.,,No human labor is involved.,No external human workers,,,We have worked with third-party vendors like Upwork and Amazon Mechanical Turk to engage individuals for help with data pipeline-related work.
Geographic distribution of data laborers,,,100% employed in Germany,,,"It is reported that crowd workers come from 35 countries. In Appendix B, Table B.1 of the document, the precise list of countries can be found. There is no geographic information however about the community annotators.",,,,No human labor is involved.,No external human workers - employees of the French company and its subsidiaries,,,The individuals we have engaged thus far have been located in the United States.
Wages,,,"Labor is subject to and honoring all employment rights of Germany, including but not limited to German minimum wage and non-discriminatory stipulations.",,,"Section 4.1.  On average, participants completed 206 tasks, earned about $27, and worked 3.1
hours. Our goal was to identify PII in various forms, such as names, usernames, emails, IP addresses, keys,
passwords, and IDs. To ensure that crowd-workers received fair compensation, we established an hourly pay
rate of $7.30, taking into consideration different minimum wage rates across countries and their corresponding
purchasing power. We limited annotation eligibility to countries where the hourly pay rate of $7.30 was
equivalent to the highest minimum wage in the US ($16.50) in terms of purchasing power parity","In Section 7.3.1 we discuss GDM's commitment to best practices on data enrichment, including contractual obligation with vendors to ensure data enrichment workers are paid at least local living wage.",,,No human labor is involved.,,,,
Instructions for creating data,,"Data is created through a third-party vendor. The instructions provided in a work to the vendor are as follows: "" Model evaluation includes 4 model evaluation runs, totaling 4 insights reports and up to 15,000 prompts testing against model bias, toxicity, safety in alignment with our responsible use guidelines (with associated ratings, rankings, written feedback, and anonymized evaluator
ids).

Prompts will be single-turn and supported by 3x human consensus for each prompt/response pair. Pipeline will include quantitative (rating and ranking) and qualitative (written)
feedback, and evaluation. Evaluators will be a mix of prompt-engineering trained generalists and domain experts (including PhDs).

Evaluators will start with an overall evaluation of the model in the first week to establish an overall view and baseline of performance. After the first week, evaluators will develop and run prompts in areas where the model requires alignment and/or improvement.

Evaluators are instructed to subjectively evaluate responses to prompts for specific risk areas such as bias (western bias, political bias, socio-economic bias and/or bias toward/against any identifiable group) toxicity (malicious, harmful), mis/disinformation (conspiracy theories, deceptive), coherence and consistency (contradictory answers to similar questions), recency and accuracy (answers that are clearly dated or factually wrong). When responses are rated poorly, evaluators are asked to create an improved/corrected response to contribute to subsequent training. 

Additionally, after an updated model endpoint is provided, evaluators will compare how the model is performing on an absolute basis, as well as relative to the old model and to the new model, highlighting overall strengths/weaknesses and displaying where the model regressed.""




",,,The instructions are disclosed in the referenced papers.,"Information for the tasks conducted by the 18 community annotators is given in sec. 3.1 (visual inspection) ""We instructed the annotators to go through 50–100 files
and confirm if the data appeared to be normal code written by humans, as opposed to text, data, or a
single long line of autogenerated code. We also asked annotators to determine whether we should use our
default alpha-numeric filter (which requires over 25% alpha-numeric symbols) and long-line filter (which
requires lines to be less than 1,000 characters) for a given file extension. ""

Information for the PII annotators is available on the github repository https://github.com/bigcode-project/bigcode-dataset/ ","Details provided throughout sections 6 and 7. Specific instructions are not disclosed, but the reader should be able to get an idea, e.g. via references to RLHF in Section 7.3.2.3.",,,No human labor is involved.,No external human workers,,,
Labor protections,,"We have conducted due dillegence in this area. In our contracts we do not have permission to share these details publicly, but are able to share with customers under NDA.","Labor is subject to and honoring all employment rights of Germany, including but not limited to German minimum wage and non-discriminatory stipulations.",,,"In order to support our efforts to mitigate the risk that the model may leak private information, we selected 12,000 samples of code from The Stack and annotated them to detect PII using crowd-sourcing. Hugging Face funded the data annotation services from Toloka, with a total outlay of $39,000 paid to crowd workers. The resulting dataset was used to train a PII detection model that we used to detect and then mask PII (Names, Emails, IP addresses, Keys, Passwords) from our StarCoder training dataset. In doing so, we aimed to balance the constraints of costs (fair compensation), time (the timing and time to complete the work was on the critical path for the project), and quality (to ensure that PII Detection Model training was not impacted). While traditional data annotation services using salaried employees were considered, we decided to work with crowd-workers through Toloka after reviewing several service providers and their compensation practices - and finding that most would not provide sufficient transparency and guarantees about worker compensation. We selected pay and eligible countries of crowd-workers to ensure that 1. the absolute hourly wage was always higher than the US federal minimum wage ($7.30), and 2. the hourly wage was equivalent to the highest state minimum wage in the US in terms of purchasing power parity ($16.50 at the time of writing).
We engaged 1,399 crowd-workers across 35 countries in annotating a diverse dataset for PII in source code.","Section 7.4.1.1 includes details on a dedicated team of child safety experts to address this particularly sensitive area of work. Additionally, this section includes details on additional well-being safeguards for reviewing image-to-text content, including time limits for exposure to harmful content, access to wellbeing resources, advice and activities. See also our Supplier Code of Conduct, which applies to all suppliers that conduct any form of data labor.",,,No human labor is involved.,Standard employment contracts with applicable laws providing for high level labor protections,,,
Third party partners,,No third parties are involved.,"Outside of data labor, we have collaborated with academic research partners at TU Darmstadt and University of Heidelberg, resulting in published peer-reviewed papers.",,,"The full list of collaborators are listed with their organization affilation as authors to the paper for ""StarCoder: May the source be with you!"".

Additionally, sec. 1.2.1. mentions two organizations, names of researchers, and involving the broader scientifiic community (without specifying who in the community) ""The idea for the BigCode Project came about in Utrecht during a discussion initiated by Harm de
Vries (ServiceNow Research) with Thomas Wolf (Hugging Face). Inspired by the BigScience Project,
Harm recognized the shared vision of ServiceNow and Hugging Face to responsibly develop open and
responsible large language models for code, and approached Thomas to explore the idea of a jointly
led open-scientific collaboration with the global machine learning and open source communities. As
it turns out, the visions were indeed aligned, and work got started to initiate the project.
A research collaboration agreement between ServiceNow and Hugging Face created the enabling
framework for the project, and set out the terms for rallying the broader scientific community at large
to work towards developing, training, exploring, and releasing large foundation models for code.""
Sec. 1.2.2 provides more statistics about the participants.",,No third parties were involved.,,No third parties are involved.,No external human workers,,,
Queryable external data access,,,"In line with the German copyright act (“Urheberrechtsgesetz”), data used for training is to be deleted after use and therefore can not be made available or distributed to external parties, including queryable external data access.",,,"We provide a search index, data portraits, and metadata-based membership checking as well as direct access to the dataset",,,,,,,,
Direct external data access,,,"In line with the German copyright act (“Urheberrechtsgesetz”), data used for training is to be deleted after use and therefore can not be made available or distributed to external parties, including queryable external data access.",,,StarcoderData is the pre-processed data used for training,,,,,,,,
Compute usage,,6.00 x 10^23 FLOPs,Luminous Supreme: 2.98E+23 Flops,,,8.46E+22 flops,,120+120 TFLOPs where used during training as reported in section IV-B of the technical report.,1.9 x 10^24 FLOPs is an upper bound on training FLOPs obtained by multiplying GPU hours x GPU compute capacity x 3600 s/hr. ,Between 10^21 and 10^22 FLOPs,,,,8.2e23 FLOPs
Development duration,,8 weeks,Luminous Supreme: 12 weeks,,,"11,208 hours",,Granite.13b used 256 A100 GPUs for 1056 hours + 1152 hours as reported in Section IV-B of the technical report.,,hugginface model card training details section,,,,74 days (910832 GPU-hours)
Compute hardware,NVIDIA A100s and H100s,768 NVIDIA A100s and 2048 TPUv4s,Luminous Supreme: 512 NVIDIA A100 40/80GB GPUs,,"See introduction of Claude 3 model card, with ""Like its predecessors, Claude 3 models employ various training methods, such as unsupervised learning and
Constitutional AI [6]. These models were trained using hardware from Amazon Web Services (AWS) and
Google Cloud Platform (GCP), with core frameworks including PyTorch [7], JAX [8], and Triton [9]""",Section 1.2.5 Supporting resources and funding of The BigCode Project Governance Card provides these details -> 512 NVIDIA A100 80GB GPUs distributed across 64 nodes.,,Granite.13b used 256 A100 GPUs as reported in Section IV-B of the technical report.,16000 NVIDIA A100s,hugginface model card lists gpu type,,,,"Our clusters use NVIDIA A100s 80GB. Both clusters use nodes using the following, per node: 8 NVIDIA A100 (80 GB); 128 vCPUs, 2048 GB RAM. In total there are 128 nodes."
Hardware owner,"Microsoft Azure, Oracle Cloud",Amazon Web Services and Google Cloud Platform,Aleph Alpha and Oracle,,"We have publicly noted our use of AWS and GCP hardware, for example see here (AWS), here (AWS Tranium), and here (Google). We also note this in our Cluade 3 model card (see ""compute hardware"" above)",Section 1.2.5 Supporting resources and funding of The BigCode Project Governance Card provides these details -> Hugging Face,"Section 3 discloses Gemini models are trained using TPUv5e and TPUv4, depending on their size and configuration.",The hardware is disclosed to be from the IBM Cloud’s Washington D.C. Data Center as reported in Section IV-B of the technical report.,,Owner is Microsoft,Mistral 7B was trained on Coreweave cluster.,,,"The hardware is disclosed to be from the Writer research cluster and additional Writer-internal production clusters.
"
Energy usage,,"570,000 - 760,000 kWh",Luminous Supreme: 93mWh,,,"Section 5.7 of StarCoder: may the source be with you! states:

StarCoderBase We report the carbon footprint (Lacoste et al., 2019) of training StarCoderBase. Based on the total number of GPU hours that training took (320,256) and an average power usage of 280W per GPU, this adds up to 89671.68 kWh of electricity consumed during the training process. Multiplied by the carbon intensity of the energy of the us-west-2 AWS location (0.15495 kgCO2e per kWh) and the average Power Usage Effectiveness of 1.2 across AWS datacenters, this results in 16.68 tonnes of CO2eq emitted.
StarCoder The fine-tuned model adds 3.5% of training time, which translates to an additional estimated emission of 0.58 tonnes of CO2eq.",,"In Section IV-C of the technical report, IBM claims 153074.3767 kWh energy consumption in training Granite.13b.v1.",688 mWh is an upper bound computed by multiplying GPU hours by GPU power consumption.,,,,,812 MWh
Carbon emissions,,2-300 tCO2eq,Luminous Supreme: 6.45tCO2,,,"Section 5.7 of StarCoder: may the source be with you! states:

StarCoderBase We report the carbon footprint (Lacoste et al., 2019) of training StarCoderBase. Based on the total number of GPU hours that training took (320,256) and an average power usage of 280W per GPU, this adds up to 89671.68 kWh of electricity consumed during the training process. Multiplied by the carbon intensity of the energy of the us-west-2 AWS location (0.15495 kgCO2e per kWh) and the average Power Usage Effectiveness of 1.2 across AWS datacenters, this results in 16.68 tonnes of CO2eq emitted.
StarCoder The fine-tuned model adds 3.5% of training time, which translates to an additional estimated emission of 0.58 tonnes of CO2eq.",,"In Section IV-C of the technical report, IBM claims 22.2263995 tons of CO2 equivalent Carbon produced during training Granite.13b.v1.",,,,,,207tCO2eq
Broader environmental impact,,"While we are aware that there are potentially additional environmental impacts of training (e.g. water usage for cooling), each of our compute providers have active sustainability and carbon offset programs specific to their datacenter locations and operations. For details see https://blog.google/outreach-initiatives/sustainability/our-commitment-to-climate-conscious-data-center-cooling/ and https://sustainability.aboutamazon.com/natural-resources/water",Aleph Alpha operates a net-zero water footprint datacenter.,,Our Claude 3 model card notes this on page 4 (sustainability),"Section 1.2.5 Supporting resources and funding of The BigCode Project Governance Card also includes comparisons of the Power Usage Effectiveness and Carbon Intensity of both the ServiceNow Montreal, and the Hugging Face AWS datacenters.",,Water usage effectiveness (WUE) and related envrionmental impacts are disclosed in Section IV.C of the technical report.,,,,,,"No information found any broader environmental impacts from building the model, though the use of carbon offsets is discussed in the Palmyra Technical Report"
Model stages,,"There are three high-level stages of the training pipeline for the Jurassic 2 family; pretraining,
instruct tuning and reinforcement learning with human feedback (RLHF).",Development stages are described in model card.,"In Titan Text AI Service Card, we noted: ""Our development process exercises these control levers as follows: 1/ we pre-train the LLM using curated data from a variety of sources, including licensed and proprietary data, open source datasets, and publicly available data where appropriate; 2/ we adjust model weights via supervised fine tuning (SFT) and reinforcement learning with human feedback (RLHF) to increase the alignment between Titan Text LLMs and our design goals; and 3/ we tune safety filters (such as privacy-protecting and profanity-blocking filters) to block or evade potentially harmful prompts and responses to further increase alignment with our design goals.“","We discuss our model training stages in our Constitutional AI paper and our Claude 3 model card (pg 3 ""training process)","See section 5 Model Training from the paper ""StarCoder: May the source be with you!"" for details",Section 6.3 outlines the post-training process for Gemini models. Section 7.3 also contains further details on SFT and RLHF as part of the post-training process to mitigate harms.,The stages of the model pipeline are clearly described in the technical report.,, only one stage,"2 main steps: 
- Pre-training: This is the initial phase of training where the model is exposed to a large corpus of text data. The model learns to predict the next word in a sentence, which helps it understand the structure of the language, grammar, context, and even some facts about the world. It is done in an unsupervised manner, meaning the model doesn't receive specific instructions or labels for each piece of data. 

- Instruction Fine-tuning: After pre-training, the model is quite good at understanding language, but it doesn't know how to follow instructions or complete tasks. This helps the model learn to perform specific tasks, like answering questions, writing essays, translating languages, and so on. It is done in a supervised manner with a mix instruction datasets and model feedback datasets. ",,,The model stages are pretraining (next word prediction as described) and fine-tuning use an autoregressive objective only for answer tokens.
Model objectives,,The learning objective for pretraining can be characterized as next word prediction. Instruction tuning employs an autoregressive objective for response tokens. RLHF uses reward modeling based on alignment principles; some examples are shared in the metrics section below. Human annotators are given instructions to create prompts that attempt to generate both positive and malicious completions along with example prompts. They are asked to score completions on a risk framework and to create ideal completions according to the alignment guidelines for a specific test (e.g. safety).,"After random initialization of all parameters, the model was trained to predict the next token in a sequence, minimizing cross-entropy loss, and stopped after a fixed number of iterations.","In Titan Text AI Service Card, we noted: ""Our development process exercises these control levers as follows: 1/ we pre-train the LLM using curated data from a variety of sources, including licensed and proprietary data, open source datasets, and publicly available data where appropriate; 2/ we adjust model weights via supervised fine tuning (SFT) and reinforcement learning with human feedback (RLHF) to increase the alignment between Titan Text LLMs and our design goals; and 3/ we tune safety filters (such as privacy-protecting and profanity-blocking filters) to block or evade potentially harmful prompts and responses to further increase alignment with our design goals.“",We discuss our model training stages in our Constitutional AI paper. Our Claude 3 model card also outlines training processes on pg 3,"As described in the paper ""StarCoder: may the source be with you!"", the StarCoder takes several important steps towards a safe open-access model release, including an improved PII redaction pipeline and a novel attribution tracing tool, and make the StarCoder models publicly available under a more commercially viable version of the Open Responsible AI Model license.","Details describing the objectives of post-training and mitigations are provided in the respective sections (Section 6.3, Section 7.3). Additionally, objectives for instruction following and tool use are further detailed in Section 6.5.1 and Section 6.5.2.","The model objectives are fairly clear: create a decoder-only foundation model for generative artificial intelligence (AI) tasks that are ready for enterprise use.  Each step in the model creation process relates to achieving this objective through data transparency, data governance, training, etc.",,only one stage,"2 main steps: 
- Pre-training: This is the initial phase of training where the model is exposed to a large corpus of text data. The model learns to predict the next word in a sentence, which helps it understand the structure of the language, grammar, context, and even some facts about the world. It is done in an unsupervised manner, meaning the model doesn't receive specific instructions or labels for each piece of data. 
Objective: Next word prediction

- Instruction Fine-tuning: After pre-training, the model is quite good at understanding language, but it doesn't know how to follow instructions or complete tasks. This helps the model learn to perform specific tasks, like answering questions, writing essays, translating languages, and so on. It is done in a supervised manner with a mix instruction datasets and model feedback datasets. 
Objective: instruction following as well as reward modelling for model feedback steps (with a judge model)  ",,,"The model objectives are fairly clear: pretraining (next word prediction as described), fine-tuning use an autoregressive objective only for answer tokens."
Core frameworks,,PyTorch is a core framework used in model development.,"PyTorch framework as the training environment, which is the only core dependency.","In Titan Text AI Service Card, we noted: ""Titan Text LLMs perform token inference using transformer-based generative machine learning. They work as follows: given a sequence of tokens (the prompt), they predict the next most likely token (first completion token), add the token to the previous input sequence, predict the next token, and keep iterating until some prescribed stopping condition is met (e.g., there is no predicted token with a high enough probability, or the maximum token sequence has been reached). Titan models predict the next token in a token sequence using a probability distribution learned through a combination of unsupervised and supervised machine learning techniques. Our runtime service architecture works as follows: 1/ Titan Text receives a user prompt via the API or Console; 2/ Titan Text filters the prompt to comply with safety, fairness and other design goals; 3/ Titan Text augments the filtered prompt to support user-requested features, e.g., knowledge-base retrieval; 4/ Titan Text generates a completion; 5/ Titan Text filters the completion for safety and other concerns; 6/ Titan Text returns the final completion.“","We discuss our Constitutional aI framework in our Claude 3 model card introduction, and also our Constitutional AI paper ","See section 5.6 Multi-Node GPU Setup from the paper ""StarCoder: May the source be with you!"" for details",Section 3 describes the use of JAX and Pathways. Further details are provided in 10.1 Gemini Ultra Model Card.,The technical report states that the FlashAttention framework along with the Adam optimizer was used for training and that the GPTNeoX 20B tokenizer was used in data engineering. ,,"huggingface model card, software section","Pytorch 
FSDP implementation with fairscale",,,"PyTorch, Hugging Face Transformers"
Additional dependencies,,There are no additional dependencies.,No additional dependencies,,Our product FAQ answers the question 'Does Claude have access to the internet' here,All development code is public,,"There are no additional dependencies discussed in the granite.13b technical report, but it is not stated explicitly that no additional dependencies are required.",No additional dependencies,No additional dependencies,"Open-source no external dependencies (except Pytorch and raw weights)

The model is also served on our API (open-mistral-7b) 
",,The image-to-video model takes a pre-supplied image and generates a clip from that image.,This is a static model trained on an offline dataset.
