Indicator,Adept,AI21 Labs,Aleph Alpha,Amazon,Anthropic,BigCode,Google,IBM,Meta,Microsoft,Mistral,OpenAI,Stability,Writer
Third-party risks evaluation,0,1,1,0,1,1,0,0,1,0,0,1,0,0
Mitigations description,0,1,1,1,1,0,1,1,1,0,1,1,0,1
Mitigations demonstration,0,1,0,0,1,0,0,0,1,0,1,1,0,0
Mitigations evaluation,0,0,0,0,0,0,0,1,1,0,1,1,0,0
External reproducibility of mitigations evaluation,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Third-party mitigations evaluation,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Trustworthiness evaluation,0,1,1,1,1,0,1,0,0,0,0,1,0,0
External reproducibility of trustworthiness evaluation,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Inference duration evaluation,0,1,1,0,0,1,0,0,1,0,0,0,1,1
Inference compute evaluation,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Release decision-making,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Release process,0,1,1,1,1,1,0,1,1,1,1,1,1,0
Distribution channels,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Products and services,1,1,1,0,1,1,1,1,1,0,1,1,1,1
Machine-generated content,0,0,1,0,0,1,0,1,0,1,0,1,1,1
License,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Terms of service,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Permitted and prohibited users,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Permitted, restricted, and prohibited uses",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Usage policy enforcement,0,1,1,1,1,1,1,0,0,1,0,1,1,1
Justification for enforcement action,0,1,1,1,1,1,1,0,0,1,0,0,0,0
Usage policy violation appeals mechanism,0,1,1,0,1,1,1,0,0,1,0,1,0,1
"Permitted, restricted, and prohibited model behaviors",0,1,1,1,1,1,1,0,1,1,1,1,1,1
Model behavior policy enforcement,0,1,1,1,1,1,0,0,0,1,0,0,1,1
Interoperability of usage and model behavior policies,0,1,1,1,1,1,0,0,0,1,0,1,1,1
User interaction with AI system,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Usage disclaimers,1,1,1,1,1,1,1,1,1,1,1,1,1,0
User data protection policy,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Permitted and prohibited use of user data,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Usage data access protocol,1,1,1,0,0,0,1,1,1,1,1,0,1,0
Versioning protocol,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Change log,1,1,1,0,0,1,0,1,1,1,1,1,1,0
Deprecation policy,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Feedback mechanism,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Feedback summary,1,1,0,1,0,1,0,1,0,1,1,0,1,0
Government inquiries,0,1,1,0,0,1,1,0,0,0,0,0,0,0
Monitoring mechanism,1,1,1,0,1,0,1,0,0,0,1,1,0,1
Downstream applications,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Affected market sectors,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affected individuals,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Usage reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographic statistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redress mechanism,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Centralized documentation for downstream use,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Documentation for responsible downstream use,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Total,33,75,75,42,51,85,47,64,60,62,55,49,58,56
