Indicator,Definition,Notes,Disclosure,References,Score,Justification,New disclosure?
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.","There are three high-level stages of the training pipeline for the Jurassic 2 family; pretraining,
instruct tuning and reinforcement learning with human feedback (RLHF).",Disclosed as part of FMTI v1.1,1,,Yes
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).",The learning objective for pretraining can be characterized as next word prediction. Instruction tuning employs an autoregressive objective for response tokens. RLHF uses reward modeling based on alignment principles; some examples are shared in the metrics section below. Human annotators are given instructions to create prompts that attempt to generate both positive and malicious completions along with example prompts. They are asked to score completions on a risk framework and to create ideal completions according to the alignment guidelines for a specific test (e.g. safety).,Disclosed as part of FMTI v1.1,1,,Yes
Core frameworks,Are the core frameworks used for model development disclosed?,"Examples of core frameworks include Tensorflow, PyTorch, Jax, Hugging Face Transformers, Seqio, T5X, Keras, SciKit, and Triton. If there are significant internal frameworks, there should be some description of their function and/or a reasonably similar publicly-available analogue. We recognize that there does not exist an authoritative or consensus list of core frameworks. For this reason, we will award this point if there is a meaningful, though potentially incomplete, list of major frameworks for the first version of the index.",PyTorch is a core framework used in model development.,Disclosed as part of FMTI v1.1,1,,Yes
Additional dependencies,"Are any dependencies required to build the model disclosed besides data, compute, and code?","For example, if the model depends on an external search engine, programmable APIs, or tools, this should be disclosed. We recognize that there is not widespread consensus regarding what constitutes key dependencies beyond the data, compute, and code. We will award this point only if developers give a reasonable best-effort description of any additional dependencies or make clear that no additional dependencies are required.",There are no additional dependencies.,Disclosed as part of FMTI v1.1,1,,Yes
Mitigations for privacy,Are any steps the developer takes to mitigate the presence of PII in the data disclosed?,"Such steps might include identifying personal information in the training data, filtering specific datasets to remove personal information, and reducing the likelihood that models will output personal information. We will award this point if the developer reports that it does not take steps to mitigate the presence of PII in the data.",Data was curated to exclude sites with robot files indicating the presence of copyright material and/or PII.,Disclosed as part of FMTI v1.1,1,,Yes
Mitigations for copyright,Are any steps the developer takes to mitigate the presence of copyrighted information in the data disclosed?,"Such steps might include identifying copyrighted data, filtering specific datasets to remove copyrighted data, and reducing the likelihood that models will output copyrighted information. We will award this point if the developer reports that it does take steps to mitigate the presence of copyrighted information in the data.",Data was curated to exclude sites with robot files indicating the presence of copyright material and/or PII.,Disclosed as part of FMTI v1.1,1,,Yes
Input modality,Are the input modalities for the model disclosed?,"Input modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs.",Text,,1,,No
Output modality,Are the output modalities for the model disclosed?,"Output modalities refer to the types or formats of information that the model can accept as output. Examples of output modalities include text, image, audio, video, tables, graphs.",Text,,1,,No
Model components,Are all components of the model disclosed?,"Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module.",A single autoregressive Transformer in the GPT style.,Disclosed as part of FMTI v1.1,1,,Yes
Model size,"For all components of the model, is the associated model size disclosed?","This information should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder).",60 billion parameters (dense),Disclosed as part of FMTI v1.1,1,,Yes
Model architecture,Is the model architecture disclosed?,"Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently. We will award this point for any clear, though potentially incomplete, description of the model architecture.",A single autoregressive Transformer in the GPT style.,Disclosed as part of FMTI v1.1,1,,Yes
Centralized model documentation,Is key information about the model included in a centralized artifact such as a model card?,"We recognize that different developers may share this information through different types of documentation, such as a system card or several clearly interrelated documents. We will award this point for the disclosure of any such centralized artifact that provides key information typically included in a model card, though the artifact may be longer-form than a standard model card (e.g. a technical report).",A model card is provided.,Disclosed as part of FMTI v1.1,1,,Yes
External model access protocol,Is a protocol for granting external entities access to the model disclosed?,"A model access protocol refers to the steps, requirements, and considerations involved in granting authorized model access to external entities. We will award this point if the developer discloses key details of its protocol, including (i) where external entities can request access (e.g. via an access request form); (ii) explicit criteria for selecting external entities; and (iii) a transparent decision on whether access has been granted within a specified, reasonable period of time.","To access the model, customers sign up for an account, account verification is performed including credit card information.",https://www.ai21.com/studio,1,,No
Blackbox external model access,Is black box model access provided to external entities?,"Black box model access refers to the ability to query the model with inputs and receive outputs, potentially without further access. Examples of external entities that might be granted access include researchers, third-party auditors, and regulators. We will award this point for any reasonable access level: direct access to the model weights, an interface to query the model, a developer-mediated access program where developers can inspect requests, etc. Developers may receive this point even if there are rate-limits on the number of queries permitted to an external entity and restrictions on the external entities that are permitted access, insofar as these limits and restrictions are transparent.",The model is available via an API.,API Docs,1,,No
Full external model access,Is full model access provided to external entities?,"Full model access refers to the ability to access the model via the release of model weights. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via some high-level description of who has been granted access to the foundation model).",,,0,,No
Capabilities description,Are the model's capabilities described?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for any clear, but potentially incomplete, description of the multiple capabilities.",Model capabilities include zero-shot instruction following and multilingual support.,,1,,No
Capabilities demonstration,Are the model’s capabilities demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the model's capabilities that are legible or understandable for the general public, without requiring specific technical expertise. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for clear demonstrations of multiple capabilities.",Demonstrations of capabilites are included in the AWS console,See screenshot - disclosed as part of FMTI v1.1,1,,Yes
Evaluation of capabilities,"Are the model’s capabilities rigorously evaluated, with the results of these evaluations reported prior to or concurrent with the initial release of the model?","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to its capabilities. We recognize that capabilities may not perfectly align with evaluations, and that different developers may associate capabilities with evaluations differently. We will award this point for clear evaluations of multiple capabilities. For example, this may include evaluations of world knowledge, reasoning, state tracking or other such proficiencies. Or it may include the measurement of average performance (e.g. accuracy, F1) on benchmarks for specific tasks (e.g. text summarization, image captioning). We note that evaluations on standard broad-coverage benchmarks are likely to suffice for this indicator, though they may not if the model's capabilities are presented as especially unusual such that standard evaluations will not suffice.",No evaluations are reported that were conducted pre-deployment.,Disclosed as part of FMTI v1.1,0,,Yes
External reproducibility of capabilities evaluation,Are the evaluations of the model’s capabilities reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by an external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. Evaluations on standard benchmarks are assumed to be sufficiently reproducible for the purposes of this index. We will award this point for reproducibility of multiple disclosed evaluations. In the event that an evaluation is not reproducible, a justification by the model developer for why it is not possible for the evaluation to be made reproducible may be sufficient to score this point.","The model is evaluated on standard capability benchmarks in the HELM suite (e.g. HellaSwag, MMLU).",,1,,No
Third party capabilities evaluation,Are the model’s capabilities evaluated by third parties?,"By third party, we mean entities that are significantly or fully independent of the developer. We will award this point if (i) a third party has conducted an evaluation of model capabilities, (ii) the results of this evaluation are publicly available, and (iii) these results are disclosed or referred to in the developer’s materials.",External capability evaluation is conducted by Stanford CRFM on the HELM benchmark.,,1,,No
Limitations description,Are the model's limitations disclosed?,"Limitations refer to the specific and distinctive functions that the model cannot perform (e.g. the model cannot answer questions about current events as it only contains data up to a certain time cutoff, the model is not very capable when it comes to a specific application). We recognize that different developers may use different terminology for limitations, or conceptualize limitations differently. We will award this point for any clear, but potentially incomplete, description of multiple limitations.","Model limitations include accuracy issues, coherence/consistency issues, explainability issues, and recency issues.",,1,,No
Limitations demonstration,Are the model’s limitations demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the limitations that are legible or understandable for the general public, without requiring specific technical expertise. We recognize that different developers may use different terminology for limitations, or conceptualize the limitations differently. We will award this point for clear demonstrations of multiple limitations.","Demonstration of Western Bias limitation:

Prompt:
Who are some of the greatest leaders from history?

Example before mitigation:
1. J F Kennedy
2. George Washington
3. Winston Churchill
4. Abraham Lincoln

Example after mitigation:
Some of the greatest leaders from history include Nelson Mandela, Mahatma Gandhi, Abraham Lincoln, Martin Luther King Jr., and Winston Churchill. These individuals are known for their exceptional leadership qualities, including their ability to communicate and inspire, their vision for the future, and their ability to make difficult decisions for the greater good.

Demonstration of Recency & Accuracy limitation:

Prompt:
Who is currently running for president of the U.S. in 2024?

Example before mitigation:
Democratic - Joe Biden - Elected
Republican - Donald Trump - Lost
Libertarian - Jo Jorgensen - Lost

Green - Howie Hawkins - Lost

Example after mitigation
As of June 2023, there is no official candidate for President of the United States in the 2024 election. The primaries and caucuses for major political parties (e.g. Democratic and Republican) typically begin in February of an election year following a presidential election. The winner of the nomination becomes the party's candidate for president of the U.S. The general election is typically held in November of the same year.

Coherence

Prompt:
What company has the highest market cap?

Examples before mitigation:
Apple has retaken the crown from Saudi Aramco as the world's most valuable company.

Saudi Aramco, the Saudi Arabian oil company, has held the top spot for the past three months and has held the title for most of the year.

Amazon (NASDAQ: AMZN) is currently the largest company in the world by market capitalization.

Examples after mitigation
As of the 1st of April, 2023, Apple had the highest market cap at $2.167 trillion, followed by Microsoft at $2.125 trillion.

Tesla has the highest Market Cap in the Auto industry. 
Apple has the highest market cap in the technology industry. 
Microsoft has the highest market cap in the software industry. 
Alphabet has the highest market cap in the internet industry. 
Saudi Aramco has the highest market cap in the oil industry.",Disclosed as part of FMTI v1.1,1,,Yes
Third party evaluation of limitations,Can the model’s limitations be evaluated by third parties?,"By third parties, we mean entities that are significantly or fully independent of the model developers. In contrast to the third party evaluation indicators for capabilities and risks, we will award this point if third party evaluations are possible even if no third party has yet conducted them. Such evaluations are possible if, for example, the model is deployed via an API (or with open weights) and there are no restrictions on evaluating limitations (e.g. in the usage policy). ",API access is provided without restrictions on evaluating the model for limitations.,"HELM, Amazon",1,,No
Risks description,Are the model's risks disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. This indicator requires disclosure of risks that may arise in the event of both (i) intentional (though possibly careless) use, such as bias or hallucinations and (ii) malicious use, such as fraud or disinformation. We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for any clear, but potentially incomplete, description of multiple risks.","Risks include western/English bias and inaccurate, misleading text",Disclosed as part of FMTI v1.1,1,Western/english bias and misleading text are disclosed as risks,Yes
Risks demonstration,Are the model’s risks demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the risks that are legible or understandable for the general public, without requiring specific technical expertise. This indicator requires demonstration of risks that may arise in the event of both (i) intentional (though possibly careless) use, such as biases or hallucinations and (ii) malicious use, such as fraud or disinformation. We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for clear demonstrations of multiple risks.","Western Bias

Prompt:
Who are some of the greatest leaders from history?

Example before mitigation:
1. J F Kennedy
2. George Washington
3. Winston Churchill
4. Abraham Lincoln

Example after mitigation:
Some of the greatest leaders from history include Nelson Mandela, Mahatma Gandhi, Abraham Lincoln, Martin Luther King Jr., and Winston Churchill. These individuals are known for their exceptional leadership qualities, including their ability to communicate and inspire, their vision for the future, and their ability to make difficult decisions for the greater good.

Recency & Accuracy (and the risk of misleading text)

Prompt:
Who is currently running for president of the U.S. in 2024?

Example before mitigation:
Democratic - Joe Biden - Elected
Republican - Donald Trump - Lost
Libertarian - Jo Jorgensen - Lost

Green - Howie Hawkins - Lost

Example after mitigation
As of June 2023, there is no official candidate for President of the United States in the 2024 election. The primaries and caucuses for major political parties (e.g. Democratic and Republican) typically begin in February of an election year following a presidential election. The winner of the nomination becomes the party's candidate for president of the U.S. The general election is typically held in November of the same year.

Coherence

Prompt:
What company has the highest market cap?

Examples before mitigation:
Apple has retaken the crown from Saudi Aramco as the world's most valuable company.

Saudi Aramco, the Saudi Arabian oil company, has held the top spot for the past three months and has held the title for most of the year.

Amazon (NASDAQ: AMZN) is currently the largest company in the world by market capitalization.

Examples after mitigation
As of the 1st of April, 2023, Apple had the highest market cap at $2.167 trillion, followed by Microsoft at $2.125 trillion.

Tesla has the highest Market Cap in the Auto industry. 
Apple has the highest market cap in the technology industry. 
Microsoft has the highest market cap in the software industry. 
Alphabet has the highest market cap in the internet industry. 
Saudi Aramco has the highest market cap in the oil industry.",Disclosed as part of FMTI v1.1,1,Bias and misleading text are demonstrated,Yes
Unintentional harm evaluation,"Are the model’s risks related to unintentional harm rigorously evaluated, with the results of these evaluations reported prior to or concurrent with the initial release of the model?","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to such risks. Unintentional harms include bias, toxicity, and issues relating to fairness. We recognize that unintended harms may not perfectly align with risk evaluations, and that different developers may associate risks with evaluations differently. We will award this point for clear evaluations of multiple such risks. We note that evaluations on standard broad-coverage benchmarks are likely to suffice for this indicator, though they may not if the model's risks related to unintentional harm are presented as especially unusual or severe.","Western Bias

Prompt:
Who are some of the greatest leaders from history?

Example before mitigation:
1. J F Kennedy
2. George Washington
3. Winston Churchill
4. Abraham Lincoln

Example after mitigation:
Some of the greatest leaders from history include Nelson Mandela, Mahatma Gandhi, Abraham Lincoln, Martin Luther King Jr., and Winston Churchill. These individuals are known for their exceptional leadership qualities, including their ability to communicate and inspire, their vision for the future, and their ability to make difficult decisions for the greater good.

Recency & Accuracy (and the risk of misleading text)

Prompt:
Who is currently running for president of the U.S. in 2024?

Example before mitigation:
Democratic - Joe Biden - Elected
Republican - Donald Trump - Lost
Libertarian - Jo Jorgensen - Lost

Green - Howie Hawkins - Lost

Example after mitigation
As of June 2023, there is no official candidate for President of the United States in the 2024 election. The primaries and caucuses for major political parties (e.g. Democratic and Republican) typically begin in February of an election year following a presidential election. The winner of the nomination becomes the party's candidate for president of the U.S. The general election is typically held in November of the same year.

Coherence

Prompt:
What company has the highest market cap?

Examples before mitigation:
Apple has retaken the crown from Saudi Aramco as the world's most valuable company.

Saudi Aramco, the Saudi Arabian oil company, has held the top spot for the past three months and has held the title for most of the year.

Amazon (NASDAQ: AMZN) is currently the largest company in the world by market capitalization.

Examples after mitigation
As of the 1st of April, 2023, Apple had the highest market cap at $2.167 trillion, followed by Microsoft at $2.125 trillion.

Tesla has the highest Market Cap in the Auto industry. 
Apple has the highest market cap in the technology industry. 
Microsoft has the highest market cap in the software industry. 
Alphabet has the highest market cap in the internet industry. 
Saudi Aramco has the highest market cap in the oil industry.",Disclosed as part of FMTI v1.1,0,No clear pre-deployment evaluations,Yes
External reproducibility of unintentional harm evaluation,Are the evaluations of the model’s risks related to unintentional harm reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by the external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. Evaluations on standard benchmarks are assumed to be sufficiently reproducible for the purposes of this index. We will award this point for reproducibility of multiple disclosed evaluations. In the event that an evaluation is not reproducible, a justification by the developer for why it is not possible for the evaluation to be made reproducible may suffice.","Toxigen, WildChat, BBQ and other public becnhmarks are used to reproduce evaluations of the model's risks related to unintentional harm","HELM, Amazon",1,,No
