Indicator,Definition,Notes,Disclosure,References,Score,Justification,New disclosure?
Direct external data access,Are external entities provided with direct access to the data used to build the model?,"We will award this point if external entities can directly access the data without any form of gating from the developer. With that said, we may award this point if the developer provides justifications for prohibiting access to specific parts of the data or to unauthorized external entities.",,,0,,No
Compute usage,Is the compute required for building the model disclosed?,"Compute should be reported in appropriate units, which most often will be floating point operations (FLOPS). Compute should be reported to a precision of one significant figure (e.g. 5 x $10^{25}$ FLOPS). We will award this point even if there is no decomposition of the reported compute usage into compute phases, but it should be clear whether the reported compute usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate compute expenditure.",,,0,,No
Development duration,Is the amount of time required to build the model disclosed?,"The continuous duration of time required to build the model should be reported in weeks, days, or hours to a precision of one significant figure (e.g. 3 weeks). No form of decomposition into phases of building the model is required for this indicator, but it should be clear what the duration refers to (e.g. training the model, training and subsequent evaluation and red teaming).",,,0,,No
Compute hardware,"For the primary hardware used to build the model, is the amount and type of hardware disclosed?","In most cases, this indicator will be satisfied by information regarding the number and type of GPUs or TPUs used to train the model. The number of hardware units should be reported to a precision of one significant figure (e.g. 800 NVIDIA H100 GPUs). We will not award this point if (i) the training hardware generally used by the developer is disclosed, but the specific hardware for the given model is not, or (ii) the training hardware is disclosed, but the amount of hardware is not. We will award this point even if information about the interconnects between hardware units is not disclosed.",,,0,,No
Hardware owner,"For the primary hardware used in building the model, is the owner of the hardware disclosed?","For example, the hardware owner may be the model developer in the case of a self-owned cluster, a cloud provider like Microsoft Azure, Google Cloud Platform, or Amazon Web Services, or a national supercomputer. In the event that hardware is owned by multiple sources or is highly decentralized, we will award this point if a developer makes a reasonable effort to describe the distribution of hardware owners.",,,0,,No
Energy usage,Is the amount of energy expended in building the model disclosed?,"Energy usage should be reported in appropriate units, which most often will be megawatt-hours (mWh). Energy usage should be reported to a precision of one significant figure (e.g. 500 mWh). No form of decomposition into compute phases is required, but it should be clear whether the reported energy usage is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that necessitate energy usage.",,,0,,No
Carbon emissions,Is the amount of carbon emitted (associated with the energy used) in building the model disclosed?,"Emissions should be reported in appropriate units, which most often will be tons of carbon dioxide emitted (tCO2). Emissions should be reported to a precision of one significant figure (e.g. 500 tCO2). No form of decomposition into compute phases is required, but it should be clear whether the reported emissions is for a single model run or includes additional runs, or hyperparameter tuning, or training other models like reward models, or other steps in the model development process that generate emissions.",,,0,,No
Broader environmental impact,Are any broader environmental impacts from building the model besides carbon emissions disclosed?,"While the most direct environmental impact of building a foundation model is the energy used and, therefore, the potential carbon emissions, there may be other environmental impacts. For example, these may include the use of other resources such as water for cooling data centers or metals for producing specialized hardware. We recognize that there does not exist an authoritative or consensus list of broader environmental factors. For this reason, we will award this point if there is a meaningful, though potentially incomplete, discussion of broader environmental impact.",,,0,,No
Model stages,Are all stages in the model development process disclosed?,"Stages refer to each identifiable step that constitutes a substantive change to the model during the model building process. We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear and complete description of these stages.","In Titan Text AI Service Card, we noted: ""Our development process exercises these control levers as follows: 1/ we pre-train the LLM using curated data from a variety of sources, including licensed and proprietary data, open source datasets, and publicly available data where appropriate; 2/ we adjust model weights via supervised fine tuning (SFT) and reinforcement learning with human feedback (RLHF) to increase the alignment between Titan Text LLMs and our design goals; and 3/ we tune safety filters (such as privacy-protecting and profanity-blocking filters) to block or evade potentially harmful prompts and responses to further increase alignment with our design goals.“",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,"Three stages: pretraining, supervised fine-tuning and reinforcement learning with human feedback, safety filtration.",No
Model objectives,"For all stages that are described, is there a clear description of the associated learning objectives or a clear characterization of the nature of this update to the model?","We recognize that different developers may use different terminology for these stages, or conceptualize the stages differently. We will award this point if there is a clear description of the update to the model related to each stage, whether that is the intent of the stage (e.g. making the model less harmful), a mechanistic characterization (e.g. minimizing a specific loss function), or an empirical assessment (e.g. evaluation results conducted before and after the stage).","In Titan Text AI Service Card, we noted: ""Our development process exercises these control levers as follows: 1/ we pre-train the LLM using curated data from a variety of sources, including licensed and proprietary data, open source datasets, and publicly available data where appropriate; 2/ we adjust model weights via supervised fine tuning (SFT) and reinforcement learning with human feedback (RLHF) to increase the alignment between Titan Text LLMs and our design goals; and 3/ we tune safety filters (such as privacy-protecting and profanity-blocking filters) to block or evade potentially harmful prompts and responses to further increase alignment with our design goals.“",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,Pretraining objective - next-word prediction. SFT and RLHF objectives to increase the alignment between Titan Text LLMs and developer design goals.,No
Core frameworks,Are the core frameworks used for model development disclosed?,"Examples of core frameworks include Tensorflow, PyTorch, Jax, Hugging Face Transformers, Seqio, T5X, Keras, SciKit, and Triton. If there are significant internal frameworks, there should be some description of their function and/or a reasonably similar publicly-available analogue. We recognize that there does not exist an authoritative or consensus list of core frameworks. For this reason, we will award this point if there is a meaningful, though potentially incomplete, list of major frameworks for the first version of the index.","In Titan Text AI Service Card, we noted: ""Titan Text LLMs perform token inference using transformer-based generative machine learning. They work as follows: given a sequence of tokens (the prompt), they predict the next most likely token (first completion token), add the token to the previous input sequence, predict the next token, and keep iterating until some prescribed stopping condition is met (e.g., there is no predicted token with a high enough probability, or the maximum token sequence has been reached). Titan models predict the next token in a token sequence using a probability distribution learned through a combination of unsupervised and supervised machine learning techniques. Our runtime service architecture works as follows: 1/ Titan Text receives a user prompt via the API or Console; 2/ Titan Text filters the prompt to comply with safety, fairness and other design goals; 3/ Titan Text augments the filtered prompt to support user-requested features, e.g., knowledge-base retrieval; 4/ Titan Text generates a completion; 5/ Titan Text filters the completion for safety and other concerns; 6/ Titan Text returns the final completion.“",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,0,"While the disclosure provides useful information, it does not provide a clear description of the core frameworks.",No
Additional dependencies,"Are any dependencies required to build the model disclosed besides data, compute, and code?","For example, if the model depends on an external search engine, programmable APIs, or tools, this should be disclosed. We recognize that there is not widespread consensus regarding what constitutes key dependencies beyond the data, compute, and code. We will award this point only if developers give a reasonable best-effort description of any additional dependencies or make clear that no additional dependencies are required.",,,0,,No
Mitigations for privacy,Are any steps the developer takes to mitigate the presence of PII in the data disclosed?,"Such steps might include identifying personal information in the training data, filtering specific datasets to remove personal information, and reducing the likelihood that models will output personal information. We will award this point if the developer reports that it does not take steps to mitigate the presence of PII in the data.",,,0,,No
Mitigations for copyright,Are any steps the developer takes to mitigate the presence of copyrighted information in the data disclosed?,"Such steps might include identifying copyrighted data, filtering specific datasets to remove copyrighted data, and reducing the likelihood that models will output copyrighted information. We will award this point if the developer reports that it does take steps to mitigate the presence of copyrighted information in the data.",,,0,,No
Input modality,Are the input modalities for the model disclosed?,"Input modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs.",Text,https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,,No
Output modality,Are the output modalities for the model disclosed?,"Output modalities refer to the types or formats of information that the model can accept as output. Examples of output modalities include text, image, audio, video, tables, graphs.",Text,https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,,No
Model components,Are all components of the model disclosed?,"Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module.",The model is a single-component decoder-only autoregressive Transformer.,https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,,No
Model size,"For all components of the model, is the associated model size disclosed?","This information should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder).",,,0,,No
Model architecture,Is the model architecture disclosed?,"Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently. We will award this point for any clear, though potentially incomplete, description of the model architecture.",The model is a single-component decoder-only autoregressive Transformer.,https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,,No
Centralized model documentation,Is key information about the model included in a centralized artifact such as a model card?,"We recognize that different developers may share this information through different types of documentation, such as a system card or several clearly interrelated documents. We will award this point for the disclosure of any such centralized artifact that provides key information typically included in a model card, though the artifact may be longer-form than a standard model card (e.g. a technical report).",An AI Service Card is provided.,https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,,No
External model access protocol,Is a protocol for granting external entities access to the model disclosed?,"A model access protocol refers to the steps, requirements, and considerations involved in granting authorized model access to external entities. We will award this point if the developer discloses key details of its protocol, including (i) where external entities can request access (e.g. via an access request form); (ii) explicit criteria for selecting external entities; and (iii) a transparent decision on whether access has been granted within a specified, reasonable period of time.","Titan Models are distributed via Bedrock platform. In the user guide, customers can find the instructions to gain model access. The Bedrock User Guide provide detailed instrutions on gaining model access from this page: https://docs.aws.amazon.com/bedrock/latest/userguide/model-access.html, which describes the access protocal as follows: ""Access to Amazon Bedrock foundation models isn't granted by default. In order to gain access to a foundation model, an IAM user with sufficient permissions needs to request access to it through the console. Once access is provided to a model, it is available for all users in the account. The requirements for access are generally the same as those for acquiring an Amazon account.",https://docs.aws.amazon.com/bedrock/latest/userguide/model-access.html,1,,No
Blackbox external model access,Is black box model access provided to external entities?,"Black box model access refers to the ability to query the model with inputs and receive outputs, potentially without further access. Examples of external entities that might be granted access include researchers, third-party auditors, and regulators. We will award this point for any reasonable access level: direct access to the model weights, an interface to query the model, a developer-mediated access program where developers can inspect requests, etc. Developers may receive this point even if there are rate-limits on the number of queries permitted to an external entity and restrictions on the external entities that are permitted access, insofar as these limits and restrictions are transparent.","Titan Models are distributed via Bedrock platform. In the user guide, customers can find the instructions to gain model access.",https://docs.aws.amazon.com/bedrock/latest/userguide/model-access.html,1,,No
Full external model access,Is full model access provided to external entities?,"Full model access refers to the ability to access the model via the release of model weights. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via some high-level description of who has been granted access to the foundation model).",,,0,,No
Capabilities description,Are the model's capabilities described?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for any clear, but potentially incomplete, description of the multiple capabilities.","In the intended use and limitation section of the AI Service Card, we disclosed the details on the capabilities of the Titan Text models.",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,"Model capabilities include text generation, dialog, in-context learning, retrieval augmented generation, orchestration, and customization",No
Capabilities demonstration,Are the model’s capabilities demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the model's capabilities that are legible or understandable for the general public, without requiring specific technical expertise. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for clear demonstrations of multiple capabilities.","Bedrock User Guide and Titan Text AI Service Card both provided plenty of examples when informing the customers on how to use Titan text models.  And the prompt engineering guidance goes in depth in a few key applications,  including: Chatbot, Text2SQL, Function Calling, RAG (Retrieval Augmented Generation).","https://d2eo22ngex1n9g.cloudfront.net/Documentation/User+Guides/Titan/Amazon+Titan+Text+Prompt+Engineering+Guidelines.pdf
https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/
https://docs.aws.amazon.com/bedrock/latest/userguide/titan-text-models.html",1,Model capabilities are demonstrated in prompting guidelines.,No
Evaluation of capabilities,"Are the model’s capabilities rigorously evaluated, with the results of these evaluations reported prior to or concurrent with the initial release of the model?","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to its capabilities. We recognize that capabilities may not perfectly align with evaluations, and that different developers may associate capabilities with evaluations differently. We will award this point for clear evaluations of multiple capabilities. For example, this may include evaluations of world knowledge, reasoning, state tracking or other such proficiencies. Or it may include the measurement of average performance (e.g. accuracy, F1) on benchmarks for specific tasks (e.g. text summarization, image captioning). We note that evaluations on standard broad-coverage benchmarks are likely to suffice for this indicator, though they may not if the model's capabilities are presented as especially unusual such that standard evaluations will not suffice.",Evaluations are provided in AI Service Card.,https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,"The model is evaluated on standard capability benchmarks (e.g. NaturalQuestions, IMDB).",No
External reproducibility of capabilities evaluation,Are the evaluations of the model’s capabilities reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by an external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. Evaluations on standard benchmarks are assumed to be sufficiently reproducible for the purposes of this index. We will award this point for reproducibility of multiple disclosed evaluations. In the event that an evaluation is not reproducible, a justification by the model developer for why it is not possible for the evaluation to be made reproducible may be sufficient to score this point.",Evaluations on public benchmarks are provided in AI Service Card.,https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,"The model is evaluated on standard capability benchmarks (e.g. NaturalQuestions, IMDB).",No
Third party capabilities evaluation,Are the model’s capabilities evaluated by third parties?,"By third party, we mean entities that are significantly or fully independent of the developer. We will award this point if (i) a third party has conducted an evaluation of model capabilities, (ii) the results of this evaluation are publicly available, and (iii) these results are disclosed or referred to in the developer’s materials.",,,0,,No
Limitations description,Are the model's limitations disclosed?,"Limitations refer to the specific and distinctive functions that the model cannot perform (e.g. the model cannot answer questions about current events as it only contains data up to a certain time cutoff, the model is not very capable when it comes to a specific application). We recognize that different developers may use different terminology for limitations, or conceptualize limitations differently. We will award this point for any clear, but potentially incomplete, description of multiple limitations.","In the AI Service Card, we detailed the limitations of the Titan Text models in terms of appropriateness for use, unsupported tasks, context size, supported languages and training data coverage, human interactions, and more.",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,"Extensive list of limitations spanning appropriateness of use, context size, unsupported tasks, etc.",No
Limitations demonstration,Are the model’s limitations demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the limitations that are legible or understandable for the general public, without requiring specific technical expertise. We recognize that different developers may use different terminology for limitations, or conceptualize the limitations differently. We will award this point for clear demonstrations of multiple limitations.","We provide the following examples of limitations discussed in our AI Service Card for Titan Text. Appropriateness for Use: Because its output is probabilistic, a Titan Text LLM may produce inaccurate or inappropriate content. For example, when prompted with: “How many integers are in the interval 1 to 10 inclusive?” Titan Text may complete with “There are seven integers in the interval 1 to 10 inclusive.” The answer is confident and grammatical, but incorrect. Unsupported tasks: Titan Text is not designed to provide opinions or advice, including medical, legal or financial advice. For example, when prompted with: ""What is the speed limit in San Mateo, California?"" Titan Text may complete with: ""The speed limit in San Mateo, California, is 25 miles per hour."" The answer is not correct, as speed limits vary by street type.",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,Limitations that are demonstrated include inaccurate or inappropriate content and providing opinions and advice,Yes
Third party evaluation of limitations,Can the model’s limitations be evaluated by third parties?,"By third parties, we mean entities that are significantly or fully independent of the model developers. In contrast to the third party evaluation indicators for capabilities and risks, we will award this point if third party evaluations are possible even if no third party has yet conducted them. Such evaluations are possible if, for example, the model is deployed via an API (or with open weights) and there are no restrictions on evaluating limitations (e.g. in the usage policy). ","Titan Text models are available for customers to evaluate via Bedrock, which actually provides an evaluation platform for customers to run both automatic evaluations and human evaluations.",https://docs.aws.amazon.com/bedrock/latest/userguide/model-evaluation.html,1,API access is provided without restrictions on evaluating the model for limitations.,No
Risks description,Are the model's risks disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. This indicator requires disclosure of risks that may arise in the event of both (i) intentional (though possibly careless) use, such as bias or hallucinations and (ii) malicious use, such as fraud or disinformation. We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for any clear, but potentially incomplete, description of multiple risks.","Throughout the AI service card, we disclose the limitations and possible undesirable outcomes of the Titan Text models, including potential toxic, hallucinated, and biased content, and the risks associated with misuse. We share the treatment and controls we put in place, for example, via guardrail filters, abuse detection,  and AWS Responsible AI Policy and more, to mitigate those risks.",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,,No
Risks demonstration,Are the model’s risks demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the risks that are legible or understandable for the general public, without requiring specific technical expertise. This indicator requires demonstration of risks that may arise in the event of both (i) intentional (though possibly careless) use, such as biases or hallucinations and (ii) malicious use, such as fraud or disinformation. We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for clear demonstrations of multiple risks.","We provide the following examples of risks discussed in the AI Service Card for Titan Text. Safety: LLMs may generate harmful responses when prompting with malicious intend, for example: “How do I build a bomb?” and “how to commit suicide?”. Titan Text is designed to avoid providing information on those unsafe topics and rejects with: “Sorry, this model is not able to provide information on ...”. Fairness: LLMs may generate unfair responses when stereotypes and biases are present in the prompts, for example: “Asians are all good at math"" or ""Women should be nurturing, caring, and focusing on family"". Titan Text Express is designed to avoid generating content related to stereotypes or making a generalization about a specific group of people’s role or behavior and rejects with “Sorry, this model is designed to avoid generating content that...” or “Sorry, this model is unable to make judgement on ...”. Hallucination: LLMs may generate hallucinated content that is inaccurate or completely made up. For example, when prompted with: “Who is Nellan Mollan?”, in which the name Nella Mollan is entirely made up, Titan Text may complete with: “Nellan Mollan is a Swedish artist and designer who is known for her unique and innovative approach to fashion and textiles...”",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,"Risks related to fiarness (i.e. racism and sexism), hallucinations, and other areas are disclosed",Yes
Unintentional harm evaluation,"Are the model’s risks related to unintentional harm rigorously evaluated, with the results of these evaluations reported prior to or concurrent with the initial release of the model?","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to such risks. Unintentional harms include bias, toxicity, and issues relating to fairness. We recognize that unintended harms may not perfectly align with risk evaluations, and that different developers may associate risks with evaluations differently. We will award this point for clear evaluations of multiple such risks. We note that evaluations on standard broad-coverage benchmarks are likely to suffice for this indicator, though they may not if the model's risks related to unintentional harm are presented as especially unusual or severe.","In the AI Service Card,  Titan Text models' performance are reported on datasets that are designed to evaluate toxicity, harmlessness, bias, and more.",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,0,,No
External reproducibility of unintentional harm evaluation,Are the evaluations of the model’s risks related to unintentional harm reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by the external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. Evaluations on standard benchmarks are assumed to be sufficiently reproducible for the purposes of this index. We will award this point for reproducibility of multiple disclosed evaluations. In the event that an evaluation is not reproducible, a justification by the developer for why it is not possible for the evaluation to be made reproducible may suffice.","Many of the evaluations shared in the AI service cards are based on public datasets, such as CivilComments, BoolQ, BBQ, NaturalQuestions, and IMDB Review, which can be reproduced via running HELM.",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,1,The model is evaluated on standard unintentional harm benchmarks (e.g. BBQ).,No
Intentional harm evaluation,"Are the model’s risks related to intentional harm rigorously evaluated, with the results of these evaluations reported prior to or concurrent with the initial release of the model?.","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to such risks. Intentional harms include fraud, disinformation, scams, cybersecurity attacks, designing weapons or pathogens, and uses of the model for illegal purposes. We recognize that unintentional harms may not perfectly align with risk evaluations, and that different developers may associate risks with evaluations differently. We will award this point for clear evaluations of multiple such risks. We note that evaluations on standard broad-coverage benchmarks are likely to suffice for this indicator, though they may not if the model's risks related to unintentional harm are presented as especially unusual or severe."," In the Safety section of the AI service card, we share the way we evaluate the harmlessness of the output.  “For example, on an automated test using a proprietary dataset of control (harmless) prompts and adversarial prompts that attempt to solicit completions containing violence, sexual content, insults, identity attacks, stereotypes, malicious intent, and other harmful content, Titan Text Lite and Titan Text Express respectively generate 0.41% and 0.14% harmful responses, while incorrectly declining to directly answer 21.00% and 19.65% of control prompts. On another proprietary Express dataset, human evaluators are on average 88% satisfied with completion harmlessness.”",https://aws.amazon.com/machine-learning/responsible-machine-learning/titan-text/,0,"While the disclosure is helpful, there are not multiple rigorous evaluations of intentional harm",No
