Indicator,Definition,Notes,Disclosure,References,Score,Justification,New disclosure?
Mitigations for privacy,Are any steps the developer takes to mitigate the presence of PII in the data disclosed?,"Such steps might include identifying personal information in the training data, filtering specific datasets to remove personal information, and reducing the likelihood that models will output personal information. We will award this point if the developer reports that it does not take steps to mitigate the presence of PII in the data.","Palmyra-X is designed to generalize information, deriving insights without relying on or surfacing personal data that may have appeared in its training datasets. To
safeguard individual privacy rights, we obscure, anonymize, or remove personal identifiers, reducing the risk of unintentional disclosure of personal information. We also exclude data from certain sites known to contain a high volume of personal data.",Disclosed as part of FMTI v1.1,1,,Yes
Mitigations for copyright,Are any steps the developer takes to mitigate the presence of copyrighted information in the data disclosed?,"Such steps might include identifying copyrighted data, filtering specific datasets to remove copyrighted data, and reducing the likelihood that models will output copyrighted information. We will award this point if the developer reports that it does take steps to mitigate the presence of copyrighted information in the data.","We aim to use data for which we have obtained the necessary permissions
and are evaluating how we can continue to ensure we are using data in ways
that respect third party intellectual property and privacy rights.",Disclosed as part of FMTI v1.1,1,,Yes
Input modality,Are the input modalities for the model disclosed?,"Input modalities refer to the types or formats of information that the model can accept as input. Examples of input modalities include text, image, audio, video, tables, graphs.",The model card states that the input modality is text.,,1,Text,No
Output modality,Are the output modalities for the model disclosed?,"Output modalities refer to the types or formats of information that the model can accept as output. Examples of output modalities include text, image, audio, video, tables, graphs.","The model card states that the output modality is text.
",,1,Text,No
Model components,Are all components of the model disclosed?,"Model components refer to distinct and identifiable parts of the model. We recognize that different developers may use different terminology for model components, or conceptualize components differently. Examples include: (i) For a text-to-image model, components could refer to a text encoder and an image encoder, which may have been trained separately. (ii) For a retrieval-augmented model, components could refer to a separate retriever module.","The model card gives a clear description of the model architecture as does the Palmyra Technical Report 
",,1,"That the model is a single component based on the Transformer architecture (e.g. no retrieval module).
",No
Model size,"For all components of the model, is the associated model size disclosed?","This information should be reported in appropriate units, which generally is the number of model parameters, broken down by named component. Model size should be reported to a precision of one significant figure (e.g. 500 billion parameters for text encoder, 20 billion parameters for image encoder).","The model sizes are disclosed, with the largest Palmyra model being a dense model with 72B parameters. Each Palmyra model is composed of a single component.
",,1,72B parameters,No
Model architecture,Is the model architecture disclosed?,"Model architecture is the overall structure and organization of a foundation model, which includes the way in which any disclosed components are integrated and how data moves through the model during training or inference. We recognize that different developers may use different terminology for model architecture, or conceptualize the architecture differently. We will award this point for any clear, though potentially incomplete, description of the model architecture.","The model card gives a clear description of the model architecture as does the Palmyra Technical Report 
",,1,"That the model is a single component based on the Transformer architecture (e.g. no retrieval module).
",No
Centralized model documentation,Is key information about the model included in a centralized artifact such as a model card?,"We recognize that different developers may share this information through different types of documentation, such as a system card or several clearly interrelated documents. We will award this point for the disclosure of any such centralized artifact that provides key information typically included in a model card, though the artifact may be longer-form than a standard model card (e.g. a technical report).","The model card provides centralized documentation.
",,1,,No
External model access protocol,Is a protocol for granting external entities access to the model disclosed?,"A model access protocol refers to the steps, requirements, and considerations involved in granting authorized model access to external entities. We will award this point if the developer discloses key details of its protocol, including (i) where external entities can request access (e.g. via an access request form); (ii) explicit criteria for selecting external entities; and (iii) a transparent decision on whether access has been granted within a specified, reasonable period of time.","Access requests can be made via a form, which states criteria for granting (e.g.  Writer Enterprise Customers) access. We have a process in place where we require individuals or entities requesting access to agree to a non-disclosure agreement and provide us with information about why they need access and for what purpose. We also restrict access to our Enterprise level customers. We evaluate whether or not to grant access based on serveral factors, including (1) relevant qualifications or expertise of the requestor in the specific domain or field; (2) prior experience or track record in utilizing similar models or technologies; and (3) rationale for requiring access (as mentioned above), for example, for academic or other research purposes.",Disclosed as part of FMTI v1.1,1,,Yes
Blackbox external model access,Is black box model access provided to external entities?,"Black box model access refers to the ability to query the model with inputs and receive outputs, potentially without further access. Examples of external entities that might be granted access include researchers, third-party auditors, and regulators. We will award this point for any reasonable access level: direct access to the model weights, an interface to query the model, a developer-mediated access program where developers can inspect requests, etc. Developers may receive this point even if there are rate-limits on the number of queries permitted to an external entity and restrictions on the external entities that are permitted access, insofar as these limits and restrictions are transparent.",,,0,,No
Full external model access,Is full model access provided to external entities?,"Full model access refers to the ability to access the model via the release of model weights. Developers may receive this point even if there are some restrictions on the external entities that are permitted access (e.g. geographic restrictions), insofar as these restrictions are transparent (e.g. via some high-level description of who has been granted access to the foundation model).",,,0,,No
Capabilities description,Are the model's capabilities described?,"Capabilities refer to the specific and distinctive functions that the model can perform. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for any clear, but potentially incomplete, description of the multiple capabilities.","Human-Like Text Generation, Conversational AI, Language Translation, Complex Question Answering, Knowledge Synthesis, Sentiment Analysis and Textual Emotion Recognition, Content Summarization",Disclosed as part of FMTI v1.1,1,,Yes
Capabilities demonstration,Are the model’s capabilities demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the model's capabilities that are legible or understandable for the general public, without requiring specific technical expertise. We recognize that different developers may use different terminology for capabilities, or conceptualize capabilities differently. We will award this point for clear demonstrations of multiple capabilities.",Capabilities are demonstrated in attached materials.,Disclosed as part of FMTI v1.1,1,,Yes
Evaluation of capabilities,"Are the model’s capabilities rigorously evaluated, with the results of these evaluations reported prior to or concurrent with the initial release of the model?","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to its capabilities. We recognize that capabilities may not perfectly align with evaluations, and that different developers may associate capabilities with evaluations differently. We will award this point for clear evaluations of multiple capabilities. For example, this may include evaluations of world knowledge, reasoning, state tracking or other such proficiencies. Or it may include the measurement of average performance (e.g. accuracy, F1) on benchmarks for specific tasks (e.g. text summarization, image captioning). We note that evaluations on standard broad-coverage benchmarks are likely to suffice for this indicator, though they may not if the model's capabilities are presented as especially unusual such that standard evaluations will not suffice.","Extensive evaluations of capabilities on standard reproducible benchmarks (e.g. MMLU, HellaSwag, Human-Eval).
",Disclosed as part of FMTI v1.1,1,,Yes
External reproducibility of capabilities evaluation,Are the evaluations of the model’s capabilities reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by an external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. Evaluations on standard benchmarks are assumed to be sufficiently reproducible for the purposes of this index. We will award this point for reproducibility of multiple disclosed evaluations. In the event that an evaluation is not reproducible, a justification by the model developer for why it is not possible for the evaluation to be made reproducible may be sufficient to score this point.","Extensive evaluations of capabilities on standard reproducible benchmarks (e.g. MMLU, HellaSwag, Human-Eval). Note hyperparameters and prompting information are provided, which exceeds the standard we impose for this version of the Index.
",Disclosed as part of FMTI v1.1,1,,Yes
Third party capabilities evaluation,Are the model’s capabilities evaluated by third parties?,"By third party, we mean entities that are significantly or fully independent of the developer. We will award this point if (i) a third party has conducted an evaluation of model capabilities, (ii) the results of this evaluation are publicly available, and (iii) these results are disclosed or referred to in the developer’s materials.",HELM report,,1,External capability evaluation is conducted by Stanford CRFM on the HELM benchmark.,No
Limitations description,Are the model's limitations disclosed?,"Limitations refer to the specific and distinctive functions that the model cannot perform (e.g. the model cannot answer questions about current events as it only contains data up to a certain time cutoff, the model is not very capable when it comes to a specific application). We recognize that different developers may use different terminology for limitations, or conceptualize limitations differently. We will award this point for any clear, but potentially incomplete, description of multiple limitations.","Palmyra-X shares similar limitations with other large language models. As we discussed above, our models can occasionally generate
incorrect or nonsensical responses, and Palmyra-X does not have the ability to learn from its mistakes or update its knowledge beyond its training data cut-off in May 2023.",Disclosed as part of FMTI v1.1,1,,Yes
Limitations demonstration,Are the model’s limitations demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the limitations that are legible or understandable for the general public, without requiring specific technical expertise. We recognize that different developers may use different terminology for limitations, or conceptualize the limitations differently. We will award this point for clear demonstrations of multiple limitations.",,,0,,No
Third party evaluation of limitations,Can the model’s limitations be evaluated by third parties?,"By third parties, we mean entities that are significantly or fully independent of the model developers. In contrast to the third party evaluation indicators for capabilities and risks, we will award this point if third party evaluations are possible even if no third party has yet conducted them. Such evaluations are possible if, for example, the model is deployed via an API (or with open weights) and there are no restrictions on evaluating limitations (e.g. in the usage policy). ",,,0,,No
Risks description,Are the model's risks disclosed?,"Risks refer to possible negative consequences or undesirable outcomes that can arise from the model's deployment and usage. This indicator requires disclosure of risks that may arise in the event of both (i) intentional (though possibly careless) use, such as bias or hallucinations and (ii) malicious use, such as fraud or disinformation. We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for any clear, but potentially incomplete, description of multiple risks.","Risks are described extensively, spanning both many forms of unintentional harm (e.g. bias, toxicity) and intentional harm (e.g. disinformation). See 4.2.1 in the Palmyra Technical Report for safety categories.
",https://arxiv.org/abs/2307.03692,1,,No
Risks demonstration,Are the model’s risks demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the risks that are legible or understandable for the general public, without requiring specific technical expertise. This indicator requires demonstration of risks that may arise in the event of both (i) intentional (though possibly careless) use, such as biases or hallucinations and (ii) malicious use, such as fraud or disinformation. We recognize that different developers may use different terminology for risks, or conceptualize risks differently. We will award this point for clear demonstrations of multiple risks.",,https://dev.writer.com/docs/mitigating-bias,0,"Detailed examples are provided, but they are not illustrative examples (i.e. sample generations from the model)",No
Unintentional harm evaluation,"Are the model’s risks related to unintentional harm rigorously evaluated, with the results of these evaluations reported prior to or concurrent with the initial release of the model?","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to such risks. Unintentional harms include bias, toxicity, and issues relating to fairness. We recognize that unintended harms may not perfectly align with risk evaluations, and that different developers may associate risks with evaluations differently. We will award this point for clear evaluations of multiple such risks. We note that evaluations on standard broad-coverage benchmarks are likely to suffice for this indicator, though they may not if the model's risks related to unintentional harm are presented as especially unusual or severe.",,,0,,No
External reproducibility of unintentional harm evaluation,Are the evaluations of the model’s risks related to unintentional harm reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by the external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. Evaluations on standard benchmarks are assumed to be sufficiently reproducible for the purposes of this index. We will award this point for reproducibility of multiple disclosed evaluations. In the event that an evaluation is not reproducible, a justification by the developer for why it is not possible for the evaluation to be made reproducible may suffice.",,,0,,No
Intentional harm evaluation,"Are the model’s risks related to intentional harm rigorously evaluated, with the results of these evaluations reported prior to or concurrent with the initial release of the model?.","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to such risks. Intentional harms include fraud, disinformation, scams, cybersecurity attacks, designing weapons or pathogens, and uses of the model for illegal purposes. We recognize that unintentional harms may not perfectly align with risk evaluations, and that different developers may associate risks with evaluations differently. We will award this point for clear evaluations of multiple such risks. We note that evaluations on standard broad-coverage benchmarks are likely to suffice for this indicator, though they may not if the model's risks related to unintentional harm are presented as especially unusual or severe.",,,0,,No
External reproducibility of intentional harm evaluation,Are the evaluations of the model’s risks related to intentional harm reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by the external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. Evaluations on standard benchmarks are assumed to be sufficiently reproducible for the purposes of this index. We will award this point for reproducibility of multiple disclosed evaluations. In the event that an evaluation is not reproducible, a justification by the model developer for why it is not possible for the evaluation to be made reproducible may suffice.",,,0,,No
Third party risks evaluation,Are the model’s risks evaluated by third parties?,"By third party, we mean entities that are significantly or fully independent of the developer. A third party risk evaluation might involve the developer allowing a third party to choose a methodology for evaluating risks that differs from that of the developer. We will award this point if (i) a third party has conducted an evaluation of model risks, (ii) the results of this evaluation are publicly available, and (iii) these results are disclosed or referred to in the developer’s materials. If the results are not made public (but are disclosed to have been conducted) and/or the results are not discoverable in the developer’s materials, we will not award this point. We may accept a justification from either the third party or the developer for why part of the evaluation is not disclosed in relation to risks.",,,0,,No
Mitigations description,Are the model mitigations disclosed?,"By model mitigations, we refer to interventions implemented by the developer at the level of the model to reduce the likelihood and/or the severity of the model’s risks. We recognize that different developers may use different terminology for mitigations, or conceptualize mitigations differently. We will award this point for any clear, but potentially incomplete, description of multiple mitigations associated with the model's risks. Alternatively, we will award this point if the developer reports that it does not mitigate risk.","Supervised Safety Fine Tuning, Safety SFT, and Safety Context Distillation are labeled as mitigations and applied to a wide range of “safety risks”
",https://arxiv.org/abs/2307.03692,1,,No
Mitigations demonstration,Are the model mitigations demonstrated?,"Demonstrations refer to illustrative examples or other forms of showing the mitigations that are legible or understandable for the general public, without requiring specific technical expertise. We recognize that different developers may use different terminology for mitigations, or conceptualize mitigations differently. We will award this point for clear demonstrations of multiple mitigations. We will also award this point if the developer reports that it does not mitigate the risks associated with the model.",,,0,,No
Mitigations evaluation,"Are the model mitigations rigorously evaluated, with the results of these evaluations reported?",Rigorous evaluations refer to precise quantifications of the model's behavior in relation to the mitigations associated with its risks. We will award this point for clear evaluations of multiple mitigations.,,,0,,No
External reproducibility of mitigations evaluation,Are the model mitigation evaluations reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by the external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. In the case of mitigations evaluations, this will usually involve details about a comparison to some baseline, which may be a different, unmitigated version of the model. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. We will award this point for reproducibility of multiple disclosed evaluations. In the event that an evaluation is not reproducible, a justification by the model developer for why it is not possible for the evaluation to be made reproducible may suffice.",,,0,,No
Third party mitigations evaluation,Can the model mitigations be evaluated by third parties?,"By third party, we mean entities that are significantly or fully independent of the model developers. This indicator assesses whether it is possible for third parties to assess mitigations, which is not restricted to the methods the developer uses to assess mitigations. In contrast to the third party evaluation indicators for capabilities and risks, we will award this point if third party evaluations are possible even if no third party has yet conducted them.",,,0,,No
Trustworthiness evaluation,"Is the trustworthiness of the model rigorously evaluated, with the results of these evaluations disclosed?","Rigorous evaluations refer to precise quantifications of the model's behavior in relation to its trustworthiness. For example, this may include evaluations of the model’s robustness or reliability, its uncertainty, calibration, or causality, or its interpretability or explainability. We recognize that trustworthiness may not perfectly align with evaluations, and that different developers may associate trustworthiness with evaluations differently. We will award this point for a clear evaluation of the trustworthiness of the model.",,,0,,No
External reproducibility of trustworthiness evaluation,Are the trustworthiness evaluations reproducible by external entities?,"For an evaluation to be reproducible by an external entity, we mean that the associated data is either (i) publicly available or (ii) described sufficiently such that a reasonable facsimile can be constructed by the external entity. In addition, the evaluation protocol should be sufficiently described such that if the evaluation is reproduced, any discrepancies with the developer's results can be resolved. We recognize that there does not exist an authoritative or consensus standard for what is required for an evaluation to be deemed externally reproducible. Evaluations on standard benchmarks are assumed to be sufficiently reproducible for the purposes of this index. We will award this point for reproducibility of at least one evaluation. In the event that an evaluation is not reproducible, we may accept a justification by the model developer for why it is not possible for the evaluation to be made reproducible.",,,0,,No
Inference duration evaluation,Is the time required for model inference disclosed for a clearly-specified task on a clearly-specified set of hardware?,"The duration should be reported in seconds to a precision of one significant figure (e.g. 0.002 seconds). We recognize that no established standard exists for the standardized reporting of inference evaluation. Therefore, we permit the developer to specify the task and hardware setup, as long as both are disclosed. The hardware in this evaluation need not be the hardware the developer uses for inference if it in fact does any inference itself. For example, the specific task might be generating 100,000 tokens as 5,000 sequences of length 20 and the fixed set of hardware might be 8 NVIDIA A100s. The hardware in this evaluation need not be the hardware the developer uses for inference if it in fact does any inference itself.",We measured latencies (batch size of one sample) for the Palmyra-X model with 72 billion parameters. The runs were performed using DeepSpeed inference and a key-value cache. All benchmarks perform greedy generation of 100 token outputs. The input prompt is as follows: Model - Palmyra-X. Number of devices - 2. A100-80GB latency (seconds) - 0.701s. FLOPS per second 12.88e10 FLOPS,Disclosed via FMTI v1.1,1,,Yes
